"project","author"
1,4
5,6
8,29
9,3
21,0
27,0
35,3
37,5
40,14
41,2
42,30
46,11
51,14
53,3
61,12
63,10
64,1
66,10
68,2
69,6
75,4
76,10
82,2
83,6
94,5
95,1
96,0
100,1
103,7
104,7
105,1
109,3
116,0
120,1
126,20
135,6
138,2
142,15
145,7
147,0
154,10
156,1
160,2
161,1
172,0
173,2
175,8
184,1
189,3
191,2
197,21
204,1
206,4
208,1
217,1
218,1
219,13
221,0
229,1
237,7
240,4
241,0
249,7
