"project","author"
1,10
5,0
8,18
9,0
21,0
27,0
35,0
37,0
40,0
41,0
42,8
46,0
51,2
53,0
61,0
63,2
64,0
66,0
68,0
69,4
75,0
76,0
82,0
83,3
94,0
95,0
96,0
100,0
103,0
104,6
105,0
109,0
116,1
120,0
126,1
135,0
138,0
142,2
145,2
147,0
154,0
156,0
160,4
161,3
172,0
173,7
175,0
184,0
189,0
191,0
197,2
204,0
206,0
208,0
217,0
218,0
219,2
221,0
229,0
237,0
240,0
241,0
249,0
