"project","author"
1,1
5,3
8,18
9,0
21,3
27,7
35,2
37,9
40,3
41,0
42,91
46,22
51,28
53,0
61,0
63,9
64,0
66,10
68,0
69,0
75,2
76,8
82,0
83,5
94,2
95,1
96,0
100,0
103,0
104,3
105,0
109,1
116,0
120,0
126,50
135,1
138,0
142,5
145,0
147,0
154,10
156,1
160,1
161,1
172,0
173,1
175,1
184,0
189,3
191,0
197,17
204,1
206,0
208,1
217,0
218,0
219,10
221,40
229,1
237,0
240,0
241,0
249,1
