"project","author"
1,3
5,0
8,11
9,0
21,0
27,0
35,0
37,2
40,1
41,0
42,26
46,2
51,23
53,0
61,0
63,11
64,0
66,4
68,0
69,0
75,1
76,2
82,0
83,2
94,2
95,1
96,1
100,0
103,0
104,3
105,0
109,2
116,0
120,0
126,32
135,0
138,0
142,2
145,0
147,0
154,0
156,0
160,1
161,1
172,0
173,0
175,0
184,0
189,3
191,0
197,9
204,0
206,0
208,1
217,0
218,0
219,5
221,0
229,0
237,0
240,0
241,0
249,0
