"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
233,35.1,692,0,212,4,9,321978,116166,0,37,98,98,98,28.6878976199757,0.239427729854829,0.0197158081705151,0.0536221286766957,21
129,15.876,715,5,524,2,10,43318,20204,2,44,100,100,100,258.19282985601,0.207676767676768,0.0198639942734431,0.0345267994439678,22
120,27,650,30,502,3,6,201396,90958,16,9,102,102,102,438.356708374798,0.134342846049311,0.0199891950297137,0.0048955609449341,23
403,34.2357,1775,409,4096,6,6,357375,265076,370,13,176,176,176,274.898697266098,0.075974025974026,0.0199353448275862,0.713679563677395,24
242,8.8473,998,0,469,1,7,190705,142489,0,28,128,128,128,108.836292706819,0.162155511811024,0.0198746642793196,0.0759280813436593,25
4,25,28,0,6,1,10,5047,2221,0,25,34,34,34,12.5927353432344,0.388591800356506,0.019698314108252,0.000393834398058231,26
11,121.4444,50,0,52,1,7,60269,16131,0,26,30,30,30,0,0.409195402298851,0.0195147679324895,0.000131860534009574,27
8,23.5,84,1,24,3,7,10459,4753,1,84,16,16,16,65.2234062829842,0.35,0.0198568872987478,2.33318753403064e-06,28
699,17.5156,1588,23,251,1,10,193154,96711,23,43,114,114,114,0,0.190964136003726,0.0191181536341715,0.248503089896869,29
365,28.7452,3071,1153,831,2,9,417079,235028,1027,24,150,150,150,221.608463365464,0.118120805369128,0.0198462363668872,0.259339198646608,32
100,14.12,212,0,413,2,10,14825,5319,0,40,78,78,78,53.658084124338,0.287046287046287,0.0195732675013225,0.00592241682864726,33
1,0,0,0,0,7,9,0,0,0,8,0,0,0,0,0,0.00892857142857143,7.12370873878717e-05,273
336,11.0089,663,0,64,2,7,127237,60759,0,10,54,54,54,0,0.455625436757512,0.0182625863770977,0.741161153949081,412
161,28.3665,225,0,47,2,7,48767,31556,0,19,54,54,54,28.3910755067958,0.455625436757512,0.0197649572649573,0.295637963536041,430
64,21.4531,189,5,75,1,10,36761,12056,4,45,42,42,42,66.4015390930908,0.311265969802555,0.0198604401502952,0.000934214518961366,493
8,0.75,17,18,165,1,6,6202,3618,13,2,34,34,34,98.3136143023356,0.335115864527629,0.0198746642793196,0.000575140569276417,494
12,88.8333,33,111,17,1,7,4455,4949,93,6,44,44,44,120.79630547246,0.331923890063425,0.0199281867145422,0.000213803090889635,614
20,278.35,25,300,36,4,6,11024,2865,230,5,100,100,100,356.254247408335,0.0852525252525252,0.019992795389049,0.000529678443386984,679
2,0,13,28,7,4,10,455,83,21,50,36,36,36,179.769004775334,0.39047619047619,0.0199460916442049,0.000133910728103022,771
1,0,0,0,1,2,10,0,0,0,112,0,0,0,0,0,0.00892857142857143,7.12370873878717e-05,823
20,42.4211,30,5,70,4,10,6380,744,5,51,42,42,42,11.9646289146289,0.318234610917538,0.019677362169828,0.000629869379999187,845
167,29.024,685,329,812,2,10,85221,27785,284,53,96,96,96,0.233333333333333,0.240789473684211,0.0197298258087451,0.0279641200557241,849
1,0,45,111,59,2,10,28649,9263,85,14,84,84,84,84.0199822517671,0.0998278829604131,0.0198996055934027,0.00387220888661853,1377
1,0,7,36,114,5,9,1476,69,21,3,42,42,42,139.45110022255,0.348432055749129,0.0198924731182796,0.000114332184354866,1489
62,47.2581,0,0,6,4,8,0,0,0,41,0,0,0,0,0,0.00892857142857143,7.12370873878717e-05,2218
377,48.9629,1581,133,558,3,6,211140,113481,114,1,110,110,110,53.1853398779657,0.190158465387823,0.0198533357181184,0.016681976363528,2272
41,8.6829,154,310,152,1,7,141289,7502,288,4,48,48,48,132.225532132857,0.25709219858156,0.0199317651283893,0.000285936393825672,2430
1,476,4,8,13,4,9,2502,647,3,90,28,28,28,66.1493803515128,0.343915343915344,0.0198746642793196,3.07821188971727e-05,2454
2,9.5,24,367,15,5,8,677,264,258,89,24,24,24,88.2823144541464,0.326086956521739,0.0199138858988159,8.65398393164362e-05,2471
1,0,2,12,0,1,7,32,21,2,69,26,26,26,201.652768038499,0.430769230769231,0.0199748065502969,6.37727163877977e-05,2568
160,28.0377,356,47,586,1,9,70351,24132,45,31,90,90,90,102.234978772517,0.249687890137328,0.0198002140563682,0.111363025998134,2589
26,43.72,280,2,173,2,7,714936,566790,2,30,68,68,68,14.3387644804074,0.352941176470588,0.0198817839871037,0.0620232135565619,2590
1,0,11,0,17,3,7,21404,21320,0,21,6,6,6,0,0.4,0.0193717277486911,3.81976927625626e-06,2598
1,0,2,13,5,5,7,48,1,12,42,8,8,8,26.3322910771553,0.428571428571429,0.0197649572649573,1.60462720736487e-06,2600
18,0,53,0,232,1,7,82956,2637,0,59,56,56,56,0.59047619047619,0.446753246753247,0.0196878325647393,0.0270399102548821,2774
6,48.8333,96,0,80,1,10,4065,2044,0,58,54,54,54,0,0.447239692522711,0.0194873595505618,0.0460100827060306,2776
357,47.6835,1620,308,609,8,10,170837,87622,281,52,88,88,88,196.174602637016,0.236154649947753,0.01988534575421,0.605646129748274,2777
533,9.3283,2915,0,680,2,6,291202,145509,0,56,62,62,62,0,0.411422527763088,0.0194293716086119,1,2778
