"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
163,29.2883,268,584,137,1,10,172026,61767,496,7,22,22,22,1,0.337662337662338,0.0382452193475816,0.986868044609384,1111
10,32.3333,30,13,0,2,6,9780,1738,7,10,18,18,18,0,0.470588235294118,0.0374862183020948,0.290814315285246,1112
6,0.3333,42,65,3,3,9,46469,8200,57,1,0,0,0,0,0,0.0285714285714286,0.000563190696200291,1116
35,35.1667,396,1342,96,4,9,177585,145975,1295,33,24,24,24,8,0.282608695652174,0.0392156862745098,1,1117
17,59,22,28,0,1,10,5095,500,26,27,4,4,4,0.5,0.333333333333333,0.0381593714927048,0.00226783841047617,1119
3,37.3333,4,0,0,2,7,82,47,0,12,0,0,0,0,0,0.0285714285714286,0.000563190696200291,1880
21,1.8095,14,13,15,1,9,4037,178,12,13,0,0,0,0,0,0.0285714285714286,0.000563190696200291,1881
2,2.5,2,0,17,3,9,42,15,0,9,0,0,0,0,0,0.0285714285714286,0.000563190696200291,1882
4,22.25,3,5,4,1,6,182,33,4,16,18,18,18,3.5,0.470588235294118,0.0398593200468933,0.0185398500530968,1883
18,12.6111,29,12,1,1,6,149538,127377,8,8,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2118
1,0,2,0,1,2,9,40886,2,0,2,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2119
4,12.5,5,0,1,3,7,1136,81,0,14,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2120
27,3.2593,38,41,0,1,8,16176,3220,41,19,24,24,24,12,0.260869565217391,0.0398126463700234,0.0786310421454724,2122
1,298,1,2,0,1,6,222,144,0,26,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2123
1,101,1,0,0,1,10,35,23,0,20,6,6,6,10.5,0.4,0.0393063583815029,0.00230348227682937,2379
2,8.5,3,0,0,1,10,556,71,0,22,18,18,18,0,0.470588235294118,0.0391705069124424,0.0645558603496373,2380
2,2.5,3,0,0,1,9,51,4,0,24,18,18,18,0,0.470588235294118,0.0391705069124424,0.0482794582142505,2381
1,7,1,0,0,1,8,99,77,0,23,18,18,18,0,0.470588235294118,0.0396732788798133,0.0512150824341795,2382
0,0,6,7,0,1,6,954,115,7,25,20,20,20,14,0.4,0.0394889663182346,0.110721080943756,2383
9,29.4444,9,12,8,2,10,9415,1085,9,28,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2386
1,57,1,1,0,1,8,5173,0,1,30,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2669
1,0,1,0,0,1,9,1,1,0,6,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2702
3,24.3333,3,13,0,1,6,549,403,13,4,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2703
1,1,1,0,0,1,7,2,1,0,11,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2901
1,60,2,4,0,1,7,616,11,4,18,0,0,0,0,0,0.0285714285714286,0.000563190696200291,2902
2,4,3,9,0,2,0,472,244,7,31,18,18,18,32.1666666666667,0.470588235294118,0.0400943396226415,0.0119686474780186,64480
2,3.5,3,10,0,2,0,6663,1818,7,32,0,0,0,0,0,0.0285714285714286,0.000563190696200291,194322
1,1,1,1,3,2,0,2,1,1,34,0,0,0,0,0,0.0285714285714286,0.000563190696200291,363832
36,0.1667,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0285714285714286,0.000563190696200291,378243
1,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0285714285714286,0.000563190696200291,379928
1,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0.0285714285714286,0.000563190696200291,380037
1,106,0,1,0,1,0,0,0,0,17,0,0,0,0,0,0.0285714285714286,0.000563190696200291,380045
1,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0.0285714285714286,0.000563190696200291,380052
4,76,0,0,1,3,0,0,0,0,29,0,0,0,0,0,0.0285714285714286,0.000563190696200291,380071
1,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.0285714285714286,0.000563190696200291,446863
