"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,0,0,0,2,8,0,0,0,29,0,0,0,0,0,0.03125,0.124201736400941,92
2,0,367,0,0,7,9,21758,25040,0,2,6,6,6,0,0.4,0.0339912280701754,1,273
29,16.5862,362,0,0,5,7,43064,34913,0,6,6,6,6,2,0.4,0.0342920353982301,0.23601686932562,348
147,11.4014,0,0,0,1,10,0,0,0,12,0,0,0,0,0,0.03125,0.124201736400941,368
49,0.3061,11,0,0,3,7,1947,319,0,16,6,6,6,2,0.4,0.0342920353982301,0.0549666547146153,369
44,19.9545,77,0,0,1,9,4983,1942,0,25,6,6,6,0,0.4,0.0341409691629956,0.964554872371587,370
3,12.3333,3,0,0,3,10,9,15,0,3,0,0,0,0,0,0.03125,0.124201736400941,371
3,0,0,0,0,1,9,0,0,0,19,0,0,0,0,0,0.03125,0.124201736400941,462
1,65,0,0,0,3,10,0,0,0,1,0,0,0,0,0,0.03125,0.124201736400941,1082
3,0,0,0,0,6,7,0,0,0,4,0,0,0,0,0,0.03125,0.124201736400941,1635
0,0,0,0,0,1,7,0,0,0,22,0,0,0,0,0,0.03125,0.124201736400941,1822
0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0.03125,0.124201736400941,380768
0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0.03125,0.124201736400941,380771
1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0.03125,0.124201736400941,380783
0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.03125,0.124201736400941,380784
0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0.03125,0.124201736400941,380797
0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0.03125,0.124201736400941,380799
0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0.03125,0.124201736400941,380827
0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0.03125,0.124201736400941,380968
190,8.5316,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0.03125,0.124201736400941,380983
0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0.03125,0.124201736400941,381200
0,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0.03125,0.124201736400941,383677
0,0,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0.03125,0.124201736400941,396078
1,542,0,0,0,1,0,0,0,0,32,0,0,0,0,0,0.03125,0.124201736400941,399275
0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0.03125,0.124201736400941,432947
0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0.03125,0.124201736400941,433088
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.03125,0.124201736400941,446729
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.03125,0.124201736400941,446954
15,1.9333,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.03125,0.124201736400941,446956
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.03125,0.124201736400941,446957
42,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.03125,0.124201736400941,447272
0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.03125,0.124201736400941,447528
