"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
5,36.2,85,0,3,7,8,38947,16908,0,4,2,2,2,0,0,0.00104356900600052,1,1351
22,156.1818,410,0,31,2,6,619681,517816,0,1,2,2,2,0,0,0.00104356900600052,0.999995027331835,2003
0,0,0,0,0,2,9,0,0,0,3,0,0,0,0,0,0.2,0.499997705687781,3243
150,9.5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.2,0.499997705687781,381759
1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0.2,0.499997705687781,444342
