"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,5,10,10,4,7,1744,1670,5,12,0,0,0,0,0,0.0769230769230769,0.00263543087737919,4
8,134,19,4,274,6,6,17542,17238,3,1,12,12,12,0,0.181818181818182,0.129032258064516,0.983318680311042,9
51,70.9048,397,65,525,5,6,104405,40786,47,4,24,24,24,6.6,0.0507246376811594,0.133333333333333,0.256407677197697,20
11,196,9,0,0,1,10,1919,21,0,8,0,0,0,0,0,0.0769230769230769,0.00263543087737919,710
4,77,13,6,102,1,10,7774,6818,0,7,0,0,0,0,0,0.0769230769230769,0.00263543087737919,712
15,0,31,43,1,2,8,12850,5648,25,11,10,10,10,0,0.0444444444444444,0.118811881188119,0.00551388458198419,714
0,0,3,6,4,3,10,958,415,3,3,4,4,4,0,0.333333333333333,0.126315789473684,0.0148976027631066,1580
6,0,23,0,89,4,8,26862,11354,0,2,10,10,10,0,0.266666666666667,0.121212121212121,1,2624
14,0,29,45,0,4,7,1551,1730,33,10,18,18,18,9,0.0915032679738562,0.134831460674157,0.0178671223025168,2626
25,16,30,54,24,5,7,20698,7767,28,9,26,26,26,5,0.0492307692307692,0.131868131868132,0.330886253357643,2628
0,0,1,0,19,1,9,1803,0,0,5,0,0,0,0,0,0.0769230769230769,0.00263543087737919,2679
0,0,0,0,8,1,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.00263543087737919,395088
1,0,0,15,0,1,0,0,0,4,13,0,0,0,0,0,0.0769230769230769,0.00263543087737919,433476
