"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
59,123.9831,403,0,186,3,6,81501,42832,0,32,20,20,20,100.859604194371,0.210526315789474,0.00465753424657534,0.000253586887847502,23
0,0,0,0,69,6,6,0,0,0,107,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,24
2,0,7,20,0,1,10,224,101,14,179,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,29
3,0,72,300,5,2,9,8795,3051,249,146,6,6,6,0,0.4,0.00465458527987405,1.15323886138017e-05,32
17,196.8824,11,0,14,2,10,2289,1369,0,175,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,33
86,60.7093,461,0,22,2,6,83439,49728,0,39,78,78,78,242,0.317682317682318,0.0045859958523714,0.134601294889102,177
1,271,343,0,18,5,9,24605,21961,0,62,64,64,64,61.0168533840939,0.406746031746032,0.00465171959707899,0.241752116286234,179
12,9.1667,332,0,114,3,6,37871,35544,0,63,56,56,56,0,0.450649350649351,0.00458746542535249,0.343379828444459,182
424,90.2028,1602,0,177,4,10,203324,158627,0,56,72,72,72,0,0.352112676056338,0.00454378403661755,0.315707513967521,185
701,64.4465,2315,0,167,2,10,315428,189390,0,48,70,70,70,0,0.363561076604555,0.00463412556435812,1,189
73,160.1644,6149,0,445,5,8,477065,419305,0,54,66,66,66,0,0.41025641025641,0.00464377784986256,0.0552655827672011,193
74,132.1757,1408,37,305,3,7,210571,40349,35,31,158,158,158,363.579085802033,0.0811094090139482,0.00465920964730468,0.728479992345567,197
72,145.8194,122,29,4,3,6,7895,3196,27,12,18,18,18,4.03640803640804,0.169934640522876,0.00465609914752302,0.000259479230712292,199
62,31.0323,1491,0,402,4,10,240300,149735,0,65,66,66,66,42.4270965749227,0.407459207459207,0.00465386852821408,0.0209547370149491,234
10,166.8,113,0,18,4,6,5573,11126,0,131,48,48,48,2,0.48758865248227,0.00464615752523786,0.0225939682284494,245
3,0,155,0,12,5,9,4761,13365,0,162,56,56,56,0,0.450649350649351,0.00449809823052753,0.363759546190413,247
19,0.7895,703,0,93,3,6,117911,105311,0,68,66,66,66,0,0.407459207459207,0.00461642905634759,0.374012607614265,249
10,123.7,106,0,17,4,10,9244,7400,0,121,58,58,58,0,0.439201451905626,0.00464997008291307,0.34127137038579,251
0,0,42,0,15,4,7,669,445,0,218,20,20,20,0,0.378947368421053,0.00459723489842139,0.014978802195583,252
17,258.2941,143,0,16,2,7,4666,2106,0,20,42,42,42,0.5,0.18815331010453,0.00465498357064622,0.0211509067127413,253
101,100.7624,5,0,0,2,10,39,42,0,98,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,254
57,77.7037,140,205,10,2,9,7630,2293,171,22,6,6,6,0,0.133333333333333,0.00464925475181184,0.000197115128637934,258
1,220,1,0,1,7,9,101,1,0,15,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,259
2,7.5,16,0,1,2,7,2626,2635,0,220,22,22,22,0,0.268398268398268,0.00465052660374778,0.00346730212135883,269
1,0,14,57,1,2,6,427,179,38,178,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,272
371,12.2668,1514,79,771,7,9,127833,157888,71,25,44,44,44,31.161099901976,0.0887949260042283,0.00465673686012669,0.00243191605032001,273
31,25.0968,561,4568,187,5,8,15485789,8056998,3868,2,32,32,32,165.40468288379,0.092741935483871,0.00465801280953523,0.00103713656173204,276
0,0,8,0,0,2,9,1210,46,0,177,6,6,6,0,0.4,0.00465458527987405,1.15323886455106e-05,278
4,24.75,19,140,88,3,6,2497,457,79,13,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,286
2,4,858,0,486,2,7,35658,21055,0,24,98,98,98,198.592461675419,0.191037239638123,0.00465825212789642,0.0902237694585207,319
6,1.1667,14,0,11,3,7,271,70,0,194,20,20,20,31.5061624575564,0.2,0.0046574544956422,0.000309118418418735,320
0,0,0,0,0,3,7,0,0,0,126,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,369
55,161.2364,48,61,0,1,9,6765,2046,56,16,4,4,4,0,0.333333333333333,0.00465482424615806,1.06492120860008e-05,410
1052,48.8537,5767,171,1034,4,6,333407,273428,156,18,202,202,202,589.829461146509,0.0564504211615191,0.00465912983898595,0.922652994499793,411
19,0.3684,468,0,167,2,7,4668,4183,0,37,54,54,54,33.8052094308934,0.241788958770091,0.00465259484793541,0.470376894640367,412
1562,42.2908,4480,0,84,3,10,1104054,1373884,0,36,20,20,20,0,0.305263157894737,0.00451062982985639,0.0224014363295796,413
251,154.1286,1181,43,268,3,6,123390,88475,30,3,54,54,54,39.53148025906,0.188679245283019,0.00465538192958735,0.0261733783406978,415
500,39.506,1554,13,118,2,7,73160,35868,12,116,72,72,72,2.0566756914583,0.312989045383412,0.00465450562989835,0.0555059613591022,430
67,2.1343,61,0,17,2,9,44117,6418,0,111,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,432
1633,25.5929,4438,0,348,1,10,352758,411979,0,27,60,60,60,453.245640491371,0.282485875706215,0.00465857125730043,0.0352496495457841,443
1,0,0,0,0,5,7,0,0,0,33,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,460
1,61,0,0,6,2,6,0,0,0,181,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,478
16,154.0909,33,3,100,1,6,1699,227,3,11,6,6,6,11.190857249003,0.133333333333333,0.00465673686012669,4.96435132326396e-05,494
3,0,4,5,63,6,9,2030,1813,1,6,0,0,0,0,0,0.00366300366300366,4.09000207103519e-06,526
106,2.9623,374,672,37,5,8,19269,289356,625,14,18,18,18,67.2083533595693,0.248366013071895,0.00465498357064622,0.000348142332045595,587
131,40.032,1548,70,0,5,9,84176,70134,62,17,76,76,76,398.78872085982,0.266666666666667,0.00465801280953523,0.0602051156040977,610
