"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,1,0,0,3,6,9,7,0,15,6,6,6,0,0.133333333333333,0.00843613933236575,0.000261132087204284,96
2,0,0,0,0,4,10,0,0,0,27,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,185
908,24.326,982,0,0,2,10,331125,188075,0,24,40,40,40,53.7866666666667,0.228205128205128,0.00843307943416757,0.434785393326762,189
1,0,0,0,0,5,8,0,0,0,26,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,193
2,0,8,1,0,3,7,124,60,1,20,12,12,12,26,0.212121212121212,0.00835579514824798,0.000732981876256325,197
1,48,5,4,0,3,6,74,8,4,10,30,30,30,5.30666666666667,0.349425287356322,0.00843537414965986,0.0101673990604506,199
1,17,3,5,0,2,9,31,60,5,16,16,16,16,82.9175824175824,0.25,0.00844533236469306,0.000724826692053073,258
1,0,0,0,0,6,8,0,0,0,11,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,262
1,0,0,0,5,7,9,0,0,0,19,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,273
4,0,12,54,0,5,8,630,689,26,1,46,46,46,20.8939393939394,0.171980676328502,0.00844073334543474,0.010768797169692,276
0,0,7,5,0,4,6,76,34,1,89,4,4,4,0,0.333333333333333,0.00831693793596852,0.000506224445434515,277
1,0,1,4,12,3,6,9,1,1,12,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,286
0,0,0,0,4,4,8,0,0,0,4,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,300
84,6.5952,812,0,9,2,7,154832,47375,0,18,34,34,34,0,0.0106951871657754,0.0084384357136376,0.132545699104206,319
4,3,12,0,8,4,6,39,36,0,14,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,411
46,77.4783,641,0,51,2,7,55184,21388,0,21,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,412
0,0,9,39,2,6,8,4622,177,37,83,32,32,32,12.7128205128205,0.32258064516129,0.00843767011431682,0.0563146186032333,417
28,2.2143,0,0,28,4,10,0,0,0,3,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05,517
68,46.3387,813,42,0,5,9,181841,107677,36,13,48,48,48,4.45454545454545,0.138297872340426,0.00841476655808903,0.150223960752097,610
