"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
2,0,0,0,187,3,6,0,0,0,22,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,23
664,39.3785,3589,0,207,5,9,233195,150061,0,31,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,179
663,28.4632,1892,0,301,3,6,426640,256693,0,32,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,182
127,30.5082,274,0,230,4,10,19753,9912,0,29,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,185
2,21.5,25,0,365,2,10,729,499,0,24,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,189
44,59.4419,2041,0,549,5,8,82331,54075,0,27,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,193
995,94.0343,3884,33,469,3,7,405467,276335,20,21,180,180,180,26.6699955756308,0.0320297951582868,0.00818339475395621,0.0019971090285457,197
1,0,32,8,3,4,9,690,141,6,147,56,56,56,9.02698434533164,0.145454545454545,0.00818206448117042,8.03830360440541e-05,200
80,74.3375,788,0,567,4,10,215742,106761,0,33,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,234
42,85.8333,366,0,22,4,6,27825,20467,0,65,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,245
401,28.2195,2048,0,20,5,9,196815,122835,0,75,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,247
21,23.4286,319,0,169,3,6,57947,19296,0,36,142,142,142,0,0.0335630806113275,0.00817011145979872,0.0253408863195413,249
595,57.0118,1129,0,25,4,10,112567,61271,0,57,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,251
39,165.4872,105,0,26,4,7,6375,1882,0,113,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,252
100,163.06,297,0,30,2,7,56232,21741,0,12,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,253
244,65.0984,1,0,0,2,10,11,3,0,48,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,254
1,243,1,0,0,1,7,136,13,0,64,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09,257
