"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
1,1,3,0,7,2,10,440,5,0,4,6,6,6,0,0.4,0.0760869565217391,0.139539939184148,22
1,0,6,14,35,2,9,454,72,14,1,12,12,12,8,0.121212121212121,0.0773480662983425,0.21917864951709,101
1,0,0,10,0,5,8,0,0,10,14,0,0,0,0,0,0.0666666666666667,0.000182048509903224,547
47,11.5532,624,0,113,3,8,131091,35519,0,3,12,12,12,0,0.121212121212121,0.043613707165109,1,2151
32,10.7188,97,0,20,4,7,17609,2069,0,2,14,14,14,0,0.0659340659340659,0.074468085106383,0.978500859038271,2152
3,0,7,27,11,3,9,5497,1115,26,11,6,6,6,4,0.133333333333333,0.0756756756756757,0.0788480039069998,2157
1,0,1,9,0,1,9,10,3,8,12,2,2,2,0,0,0.0696517412935323,0.000527514803261729,2166
217,27.9217,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0.0666666666666667,0.000182048509903224,378243
0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0.0666666666666667,0.000182048509903224,387556
0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0.0666666666666667,0.000182048509903224,387558
1,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0.0666666666666667,0.000182048509903224,387559
1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0.0666666666666667,0.000182048509903224,387563
1,127,0,0,9,1,0,0,0,0,10,0,0,0,0,0,0.0666666666666667,0.000182048509903224,387570
0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0666666666666667,0.000182048509903224,412675
1,0,0,17,0,2,0,0,0,7,15,0,0,0,0,0,0.0666666666666667,0.000182048509903224,434303
