"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
13,3,14,0,1,3,7,2082,1988,0,10,2,2,2,0,0,0.0821917808219178,0.999999947588131,2183
22,43.5455,15,0,115,1,8,531,84,0,1,2,2,2,0,0,0.0821917808219178,1,2185
461,3.8915,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0769230769230769,0.500000551534301,378243
30,57.3571,0,0,373,2,0,0,0,0,2,0,0,0,0,0,0.0769230769230769,0.500000551534301,379966
1,17,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0.0769230769230769,0.500000551534301,379967
4,8.75,0,0,64,1,0,0,0,0,4,0,0,0,0,0,0.0769230769230769,0.500000551534301,379968
7,5,0,0,30,1,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.500000551534301,379970
4,1.75,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.500000551534301,379973
1,0,0,0,40,3,0,0,0,0,8,0,0,0,0,0,0.0769230769230769,0.500000551534301,379976
28,9.7143,0,0,6,1,0,0,0,0,9,0,0,0,0,0,0.0769230769230769,0.500000551534301,379989
0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0.0769230769230769,0.500000551534301,379993
1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0.0769230769230769,0.500000551534301,379994
0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0769230769230769,0.500000551534301,379995
