"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
1,0,2,3,0,2,8,314,0,3,15,4,4,4,0,0.333333333333333,0.0599369085173502,0.00210014587106999,266
7,28.2857,16,1,10,2,8,7771,240,1,8,24,24,24,0,0.0072463768115942,0.0781893004115226,0.105630266472424,398
1,0,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0.05,3.17568891649782e-06,411
3,4.6667,4,41,0,3,6,411,19,34,4,8,8,8,6,0.357142857142857,0.0815450643776824,0.0125554793240027,415
32,1.1875,281,90,47,4,10,112236,27444,86,1,28,28,28,15,0.0476190476190476,0.0818965517241379,1,527
12,0.4167,262,701,56,6,9,52914,23345,663,19,20,20,20,17,0.105263157894737,0.0794979079497908,0.686595724661226,531
31,26.2903,67,197,56,5,9,27538,9468,169,5,16,16,16,19,0.1,0.0811965811965812,0.219802424616022,535
13,10.1538,13,59,20,2,7,1006,136,30,11,6,6,6,0,0.133333333333333,0.076,0.0434378124283647,536
2,0,4,17,0,1,8,5704,355,17,16,8,8,8,5,0.285714285714286,0.0766129032258065,0.0393680570536389,538
1,84,1,11,0,1,8,92,69,5,14,6,6,6,18,0.4,0.0815450643776824,0.000663054730568188,541
1,0,1,14,0,2,7,86,8,14,17,4,4,4,0,0.333333333333333,0.0599369085173502,0.00210014586951633,544
2,0,2,5,0,4,9,43,9,5,10,4,4,4,0,0.333333333333333,0.0625,0.00180535582634228,797
2,1,0,1,2,4,8,0,0,0,9,0,0,0,0,0,0.05,3.17568891649782e-06,910
5,0,0,0,0,1,8,0,0,0,7,0,0,0,0,0,0.05,3.17568891649782e-06,3148
18,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.05,3.17568891649782e-06,378235
47,39.3191,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.05,3.17568891649782e-06,378243
1,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0.05,3.17568891649782e-06,385882
1,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.05,3.17568891649782e-06,385897
1,0,0,4,0,2,0,0,0,4,18,0,0,0,0,0,0.05,3.17568891649782e-06,399999
1,0,0,4,0,2,0,0,0,4,20,0,0,0,0,0,0.05,3.17568891649782e-06,446283
