"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
1,0,0,0,0,6,6,0,0,0,49,0,0,0,0,0,0.0119047619047619,0.0160399588387193,15
1,0,0,0,0,5,7,0,0,0,38,0,0,0,0,0,0.0119047619047619,0.0160399588387193,198
1,0,0,0,0,5,9,0,0,0,55,0,0,0,0,0,0.0119047619047619,0.0160399588387193,247
2,0,0,0,8,4,7,0,0,0,26,0,0,0,0,0,0.0119047619047619,0.0160399588387193,261
4,0,0,0,2,6,9,0,0,0,47,0,0,0,0,0,0.0119047619047619,0.0160399588387193,282
4,0.75,4,9,0,3,6,4,5,2,8,10,10,10,7,0.266666666666667,0.0125833838690115,0.0233837148267894,415
2,0,0,0,0,4,10,0,0,0,14,0,0,0,0,0,0.0119047619047619,0.0160399588387193,517
3,1.6667,1,1,5,6,9,2,15,1,24,2,2,2,0,0,0.0124307323648345,0.00135780992032481,526
1712,9.6961,1198,193,896,4,10,33275,30149,185,1,20,20,20,4,0.0631578947368421,0.012573852446599,1,527
1,0,0,0,51,5,9,0,0,0,15,0,0,0,0,0,0.0119047619047619,0.0160399588387193,535
6,14.8,35,197,114,4,7,657,406,185,83,10,10,10,0,0.266666666666667,0.0124849578820698,0.630056738027457,543
4,0.5,0,0,0,3,9,0,0,0,43,0,0,0,0,0,0.0119047619047619,0.0160399588387193,659
5,0,0,0,2,5,7,0,0,0,37,0,0,0,0,0,0.0119047619047619,0.0160399588387193,677
0,0,0,0,10,2,9,0,0,0,17,0,0,0,0,0,0.0119047619047619,0.0160399588387193,678
2,0,0,0,0,3,6,0,0,0,10,0,0,0,0,0,0.0119047619047619,0.0160399588387193,818
2,0,0,0,0,2,8,0,0,0,32,0,0,0,0,0,0.0119047619047619,0.0160399588387193,1033
1,26,5,26,34,2,6,229,136,20,82,14,14,14,0,0.131868131868132,0.0125719478945774,0.105272564344649,1528
20,1.65,7,17,3,1,6,54,28,12,16,8,8,8,0,0.428571428571429,0.0125757575757576,0.0319006696873782,1533
0,0,0,0,51,2,7,0,0,0,3,0,0,0,0,0,0.0119047619047619,0.0160399588387193,1539
41,7.3659,0,0,1,4,7,0,0,0,7,0,0,0,0,0,0.0119047619047619,0.0160399588387193,1549
22,91.2273,0,0,36,1,8,0,0,0,13,0,0,0,0,0,0.0119047619047619,0.0160399588387193,1551
1,0,0,0,1,1,9,0,0,0,36,0,0,0,0,0,0.0119047619047619,0.0160399588387193,1558
13,0,0,0,0,2,8,0,0,0,46,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2134
2,0,0,0,12,3,8,0,0,0,56,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2151
1,0,0,0,0,4,9,0,0,0,27,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2235
2,0,0,0,0,3,7,0,0,0,9,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2282
1,0,0,0,1,6,8,0,0,0,18,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2340
5,2.8,0,0,0,2,8,0,0,0,39,0,0,0,0,0,0.0119047619047619,0.0160399588387193,2759
1,0,0,0,11,7,6,0,0,0,53,0,0,0,0,0,0.0119047619047619,0.0160399588387193,3080
3,12.3333,0,0,0,1,9,0,0,0,25,0,0,0,0,0,0.0119047619047619,0.0160399588387193,3217
7,0,0,0,1,4,10,0,0,0,11,0,0,0,0,0,0.0119047619047619,0.0160399588387193,3295
7,1.5714,0,0,3,3,8,0,0,0,34,0,0,0,0,0,0.0119047619047619,0.0160399588387193,3402
2,0,0,0,0,2,0,0,0,0,48,0,0,0,0,0,0.0119047619047619,0.0160399588387193,309805
1315,10.7977,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378235
13,0.4615,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378242
56,109.1607,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378243
1,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378244
2,4.5,0,0,11,3,0,0,0,0,12,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378254
173,4.422,0,0,69,3,0,0,0,0,19,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378281
44,7.5227,0,0,5,1,0,0,0,0,20,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378297
28,39.1786,0,0,0,2,0,0,0,0,58,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378298
3,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378299
8,3.875,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378300
1,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378304
18,5.6667,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378317
5,1.6,0,0,6,1,0,0,0,0,29,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378318
9,30.6667,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378328
1,0,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378330
1,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378357
1,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,0.0119047619047619,0.0160399588387193,378412
1,522,0,0,0,2,0,0,0,0,40,0,0,0,0,0,0.0119047619047619,0.0160399588387193,379185
1,0,0,0,0,2,0,0,0,0,41,0,0,0,0,0,0.0119047619047619,0.0160399588387193,379489
2,19.5,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0.0119047619047619,0.0160399588387193,379614
2,15,0,0,16,1,0,0,0,0,45,0,0,0,0,0,0.0119047619047619,0.0160399588387193,379790
1,0,0,0,0,2,0,0,0,0,50,0,0,0,0,0,0.0119047619047619,0.0160399588387193,381786
1,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0.0119047619047619,0.0160399588387193,381797
1,2,0,0,0,2,0,0,0,0,52,0,0,0,0,0,0.0119047619047619,0.0160399588387193,381808
2,0,0,0,0,1,0,0,0,0,54,0,0,0,0,0,0.0119047619047619,0.0160399588387193,382290
1,0,0,0,0,4,0,0,0,0,61,0,0,0,0,0,0.0119047619047619,0.0160399588387193,382303
58,78.4138,0,0,0,1,0,0,0,0,59,0,0,0,0,0,0.0119047619047619,0.0160399588387193,385869
1,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0.0119047619047619,0.0160399588387193,386369
39,0.3333,0,0,0,1,0,0,0,0,62,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387826
12,1.75,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387827
4,0.75,0,0,0,2,0,0,0,0,64,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387832
8,13.5,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387833
3,0,0,0,0,1,0,0,0,0,66,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387871
1,22,0,0,1,1,0,0,0,0,67,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387891
1,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387900
3,0,0,0,0,2,0,0,0,0,71,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387943
1,0,0,0,1,1,0,0,0,0,72,0,0,0,0,0,0.0119047619047619,0.0160399588387193,387989
0,0,0,0,0,2,0,0,0,0,84,0,0,0,0,0,0.0119047619047619,0.0160399588387193,401016
1,0,0,0,4,2,0,0,0,0,73,0,0,0,0,0,0.0119047619047619,0.0160399588387193,405861
5,22,0,0,7,1,0,0,0,0,74,0,0,0,0,0,0.0119047619047619,0.0160399588387193,406837
1,0,0,0,0,1,0,0,0,0,75,0,0,0,0,0,0.0119047619047619,0.0160399588387193,407624
11,0,0,0,2,1,0,0,0,0,76,0,0,0,0,0,0.0119047619047619,0.0160399588387193,411962
1,0,0,0,0,1,0,0,0,0,77,0,0,0,0,0,0.0119047619047619,0.0160399588387193,414745
1,0,0,0,5,2,0,0,0,0,78,0,0,0,0,0,0.0119047619047619,0.0160399588387193,414947
2,209,0,0,0,1,0,0,0,0,79,0,0,0,0,0,0.0119047619047619,0.0160399588387193,415023
1,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0.0119047619047619,0.0160399588387193,415121
0,0,0,0,5,1,0,0,0,0,81,0,0,0,0,0,0.0119047619047619,0.0160399588387193,415355
1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0119047619047619,0.0160399588387193,446833
35,4.8286,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0119047619047619,0.0160399588387193,447267
27,0.037,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0119047619047619,0.0160399588387193,447311
1,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.0119047619047619,0.0160399588387193,447751
