"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
24,31.25,1332,2317,608,7,9,613401,751945,2101,1,44,44,44,8,0.0507399577167019,0.0588235294117647,1,259
32,1.4063,500,2504,160,5,6,34046,35585,2323,6,24,24,24,8,0.173913043478261,0.0326409495548961,0.974147921132916,2073
10,0,130,749,36,5,6,26182,9304,671,11,32,32,32,24,0.092741935483871,0.0628571428571429,0.133419391707976,2074
39,1.5789,275,1363,28,4,7,16077,10179,1155,7,22,22,22,0,0.199134199134199,0.0376712328767123,0.693282774897825,2318
1,4,2,57,92,4,7,1354,807,57,12,12,12,12,0,0.181818181818182,0.0468085106382979,0.00675241855088878,2319
0,0,389,2,16,3,6,544003,150647,2,3,18,18,18,0,0.261437908496732,0.0506912442396313,0.28130275073012,2929
0,0,274,44,4,2,10,64547,30023,44,2,16,16,16,0,0.25,0.0239130434782609,0.180018468496812,2931
0,0,27,1,5,2,9,22709,23968,1,4,34,34,34,24,0.071301247771836,0.0628571428571429,0.0574322785547651,2932
1,0,28,95,109,1,7,8805,0,95,5,4,4,4,0,0.333333333333333,0.0254041570438799,0.00155740872075768,2934
2,0,60,396,1,3,0,8175,3384,335,10,14,14,14,8,0.32967032967033,0.0569948186528497,0.0378186232014223,194327
25,0.12,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0.0833333333333333,0.0780293166944621,378243
2,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0.0833333333333333,0.0780293166944621,452605
