"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
30,43.3,255,3,1,3,6,53758,57972,3,5,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,199
89,0.0787,1737,1743,235,5,8,216424,280396,1652,7,78,78,78,0,0.118548118548119,0.0511627906976744,0.169467808911442,587
0,0,39,0,3,4,6,131468,23729,0,8,6,6,6,0,0.4,0.03240058910162,0.0384271507308804,679
0,0,640,112,139,6,10,413894,336674,92,39,84,84,84,39.2225885225885,0.0929432013769363,0.0520094562647754,0.990421087572384,688
0,0,21,40,1,4,8,13762,13762,38,42,10,10,10,6.30808080808081,0.444444444444444,0.0509259259259259,6.91674052192563e-05,910
8,0,266,516,39,3,7,18328,47302,479,43,40,40,40,30.2869565217391,0.235897435897436,0.0512820512820513,0.0284841212304665,1520
14,6.4286,626,0,25,2,6,125224,134338,0,1,44,44,44,49.487029395725,0.158562367864693,0.0524433849821216,0.0354263196468702,2240
57,9.8421,607,993,70,3,8,215016,118827,945,12,60,60,60,69.45,0.189830508474576,0.0512820512820513,0.0595587320406663,2245
1,50,9,0,0,3,6,29479,332,0,11,12,12,12,27,0.393939393939394,0.0487804878048781,0.00120247246868079,2281
98,13.0306,1737,0,624,3,7,553930,173947,0,2,56,56,56,27,0.218181818181818,0.0504587155963303,0.122669256936544,2282
0,0,70,0,29,1,8,13779,11186,0,3,36,36,36,40.9227994227994,0.352380952380952,0.0521327014218009,0.00934575714422926,2283
1,0,1,0,14,2,9,1,1,0,25,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,2287
7,0,64,0,2,2,7,6412,3672,0,19,8,8,8,0,0.428571428571429,0.0413533834586466,0.0306959504720606,2424
24,68.5417,157,234,110,2,10,121495,99803,208,27,66,66,66,51.5316125903082,0.114685314685315,0.052757793764988,0.045122576004516,2425
26,27.3077,14,0,6,1,8,664,199,0,21,8,8,8,0,0.428571428571429,0.0355987055016181,0.000524415149655648,2426
74,0.1351,745,0,28,4,7,329813,254460,0,4,36,36,36,6.53333333333333,0.336507936507937,0.0515826494724502,0.02929150282713,2428
76,11.2105,1072,626,246,1,7,315450,241364,609,6,68,68,68,16.8969696969697,0.152765583845479,0.0515222482435597,0.120754719418713,2430
0,0,95,0,8,1,9,26508,26721,0,24,16,16,16,7.86111111111111,0.383333333333333,0.0507497116493656,0.0331157977184203,2432
0,0,1,0,0,1,8,11,28,0,16,2,2,2,0,0,0.0227272727272727,3.3319741755812e-09,2434
0,0,9,0,0,1,8,5546,1441,0,9,2,2,2,0,0,0.0227272727272727,3.33186431101936e-09,2435
24,4.3333,455,2188,69,2,10,192576,75916,1953,14,74,74,74,16.3859213250518,0.0659015179563125,0.0524433849821216,0.567321790587544,2441
21,4.0476,24,9,21,1,10,21208,8253,7,13,50,50,50,104.638020916282,0.133877551020408,0.0528211284513806,0.00298505586470668,2442
13,3.3846,161,51,41,2,6,14042,12911,49,26,68,68,68,19.220202020202,0.131694468832309,0.0517038777908343,0.0501628413934416,2443
1,17,2,0,0,1,8,319,4,0,34,10,10,10,0,0.444444444444444,0.0482985729967069,0.000119756205385449,2444
0,0,26,55,2,3,8,4185,1872,42,41,34,34,34,8.98412698412698,0.342245989304813,0.0512820512820513,0.00347649501547508,2445
1,145,640,3666,116,5,6,204561,286181,3232,38,78,78,78,14.7333333333333,0.0592740592740593,0.0521327014218009,1,2451
4,7.25,298,2841,40,2,7,118661,42270,2284,28,32,32,32,0,0.30241935483871,0.0511627906976744,0.354198087820655,2452
1,0,32,168,16,2,7,3248,1212,140,23,54,54,54,53.15,0.131376659678546,0.0523809523809524,0.00283268607883794,2456
5,0,157,1694,1,2,8,39326,10839,1456,35,52,52,52,79.4176673567978,0.125188536953243,0.0528211284513806,0.180262081362172,2470
3,0,146,492,3,4,10,154166,141445,406,29,62,62,62,27,0.167107350608144,0.0506912442396313,0.0641399154369893,2475
0,0,59,260,0,3,6,15764,2110,215,36,40,40,40,51.7,0.194871794871795,0.0518867924528302,0.00534068060747817,2476
1,0,26,247,0,3,9,6042,589,232,37,12,12,12,0,0.303030303030303,0.0491620111731844,0.0193881759301634,3252
2,149,11,97,0,2,0,3261,339,86,44,26,26,26,1.2,0.387692307692308,0.0509849362688297,0.000724606222300303,64611
4,0,0,0,0,13,0,0,0,0,20,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,378243
3,322.6667,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,381484
0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,390222
45,4.0667,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,390248
109,2.1481,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,390253
1,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,426838
1,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,426884
0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,433121
1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,433146
1,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,434351
42,7.6667,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,451576
8,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06,452199
