"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
97,0,35,131,2,2,9,7198,2388,117,81,4,4,4,0,0.333333333333333,0.00881934566145092,0.307512818949682,32
0,0,89,0,6,2,6,25483,14225,0,25,0,0,0,0,0,0.008,0.130644183991238,177
0,0,73,0,15,3,6,11789,2978,0,40,0,0,0,0,0,0.008,0.130644183991238,182
0,0,131,0,8,4,10,7748,4473,0,35,0,0,0,0,0,0.008,0.130644183991238,185
0,0,878,0,3,2,10,143659,77172,0,31,0,0,0,0,0,0.008,0.130644183991238,189
17,0,293,23,31,3,7,8711,13483,22,20,6,6,6,35,0.266666666666667,0.00883065090442957,0.153078848640993,197
25,0,75,25,0,3,6,5548,3070,25,8,2,2,2,0,0,0.00859916782246879,0.0503984381277596,199
0,0,0,0,103,4,10,0,0,0,42,0,0,0,0,0,0.008,0.130644183991238,234
0,0,256,0,8,3,6,89789,82814,0,44,0,0,0,0,0,0.008,0.130644183991238,249
24,0,33,85,5,2,9,2143,757,77,14,12,12,12,87,0.181818181818182,0.00905109489051095,0.287826930899114,258
4,0,11,4,16,7,9,54,137,4,15,4,4,4,0,0.333333333333333,0.00901555911007707,0.101997908777295,273
3486,0,525,4337,161,5,8,15484950,8055565,3705,2,36,36,36,132,0.0317460317460317,0.00905638328951212,1,276
0,0,6,0,0,2,9,1137,46,0,96,0,0,0,0,0,0.008,0.130644183991238,278
67,0,14,107,36,3,6,2409,363,67,9,6,6,6,18,0.133333333333333,0.00900377577693872,0.204517738187981,286
73,0,1824,131,93,4,6,115869,89921,124,11,2,2,2,0,0,0.00898550724637681,0.0495959949597859,411
0,0,9,0,12,2,7,82,11,0,23,0,0,0,0,0,0.008,0.130644183991238,412
0,0,0,0,0,3,10,0,0,0,22,0,0,0,0,0,0.008,0.130644183991238,413
1,0,1,1,0,3,6,31,8,1,3,0,0,0,0,0,0.008,0.130644183991238,415
3,0,113,3,3,2,7,17526,10720,3,69,0,0,0,0,0,0.008,0.130644183991238,430
0,0,61,0,17,2,9,44117,6418,0,67,0,0,0,0,0,0.008,0.130644183991238,432
0,0,14,0,0,1,10,150,61,0,17,0,0,0,0,0,0.008,0.130644183991238,443
0,0,4,4,18,6,9,2030,1813,0,4,0,0,0,0,0,0.008,0.130644183991238,526
6,0,2,9,0,5,9,7,5,6,10,0,0,0,0,0,0.008,0.130644183991238,610
0,0,20,0,12,3,9,785,198,0,41,0,0,0,0,0,0.008,0.130644183991238,659
0,0,1469,0,417,5,10,524403,463832,0,64,0,0,0,0,0,0.008,0.130644183991238,663
0,0,390,0,109,3,8,50775,38196,0,57,0,0,0,0,0,0.008,0.130644183991238,665
0,0,321,0,0,13,8,31900,30034,0,5,0,0,0,0,0,0.008,0.130644183991238,670
14,0,22,14,1,3,6,2358,1710,14,7,0,0,0,0,0,0.008,0.130644183991238,671
161,0,197,204,16,5,7,11285,4164,175,18,8,8,8,50,0.214285714285714,0.00903526668609735,0.266795713111373,677
0,0,12,0,0,2,8,56,24,0,51,0,0,0,0,0,0.008,0.130644183991238,693
0,0,188,0,19,3,10,21940,10979,0,43,0,0,0,0,0,0.008,0.130644183991238,721
0,0,352,0,15,3,9,33919,19862,0,45,0,0,0,0,0,0.008,0.130644183991238,724
0,0,29,0,36,3,7,4248,3037,0,29,0,0,0,0,0,0.008,0.130644183991238,735
0,0,60,0,6,4,6,4636,2628,0,87,0,0,0,0,0,0.008,0.130644183991238,738
0,0,371,0,7,1,7,65972,26285,0,74,0,0,0,0,0,0.008,0.130644183991238,743
0,0,458,0,0,3,8,76909,55744,0,75,0,0,0,0,0,0.008,0.130644183991238,750
0,0,280,0,71,3,6,47073,7759,0,12,0,0,0,0,0,0.008,0.130644183991238,756
2,0,273,2,10,4,8,139591,69589,2,6,2,2,2,0,0,0.00890420795634066,0.0536349754040403,758
12,0,355,16,132,1,6,32049,13450,12,28,0,0,0,0,0,0.008,0.130644183991238,760
0,0,570,0,118,2,10,60606,32727,0,71,0,0,0,0,0,0.008,0.130644183991238,765
