"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
3,0,255,3,1,3,6,53758,57972,3,5,0,0,0,0,0,0.0222222222222222,0.499998884441374,199
32,0,1737,1743,235,5,8,216424,280396,1652,7,2,2,2,0,0,0.0223690899847483,1,587
0,0,39,0,3,4,6,131468,23729,0,8,0,0,0,0,0,0.0222222222222222,0.499998884441374,679
0,0,640,112,139,6,10,413894,336674,92,39,0,0,0,0,0,0.0222222222222222,0.499998884441374,688
30,0,21,40,1,4,8,13762,13762,38,42,2,2,2,0,0,0.0223690899847483,0.999999603970153,910
0,0,266,516,39,3,7,18328,47302,479,43,0,0,0,0,0,0.0222222222222222,0.499998884441374,1520
0,0,626,0,25,2,6,125224,134338,0,1,0,0,0,0,0,0.0222222222222222,0.499998884441374,2240
5,0,607,993,70,3,8,215016,118827,945,12,0,0,0,0,0,0.0222222222222222,0.499998884441374,2245
0,0,9,0,0,3,6,29479,332,0,11,0,0,0,0,0,0.0222222222222222,0.499998884441374,2281
0,0,1737,0,624,3,7,553930,173947,0,2,0,0,0,0,0,0.0222222222222222,0.499998884441374,2282
0,0,70,0,29,1,8,13779,11186,0,3,0,0,0,0,0,0.0222222222222222,0.499998884441374,2283
0,0,1,0,14,2,9,1,1,0,25,0,0,0,0,0,0.0222222222222222,0.499998884441374,2287
0,0,64,0,2,2,7,6412,3672,0,19,0,0,0,0,0,0.0222222222222222,0.499998884441374,2424
0,0,157,234,110,2,10,121495,99803,208,27,0,0,0,0,0,0.0222222222222222,0.499998884441374,2425
0,0,14,0,6,1,8,664,199,0,21,0,0,0,0,0,0.0222222222222222,0.499998884441374,2426
0,0,745,0,28,4,7,329813,254460,0,4,0,0,0,0,0,0.0222222222222222,0.499998884441374,2428
0,0,1072,626,246,1,7,315450,241364,609,6,0,0,0,0,0,0.0222222222222222,0.499998884441374,2430
0,0,95,0,8,1,9,26508,26721,0,24,0,0,0,0,0,0.0222222222222222,0.499998884441374,2432
0,0,1,0,0,1,8,11,28,0,16,0,0,0,0,0,0.0222222222222222,0.499998884441374,2434
0,0,9,0,0,1,8,5546,1441,0,9,0,0,0,0,0,0.0222222222222222,0.499998884441374,2435
0,0,455,2188,69,2,10,192576,75916,1953,14,0,0,0,0,0,0.0222222222222222,0.499998884441374,2441
0,0,24,9,21,1,10,21208,8253,7,13,0,0,0,0,0,0.0222222222222222,0.499998884441374,2442
0,0,161,51,41,2,6,14042,12911,49,26,0,0,0,0,0,0.0222222222222222,0.499998884441374,2443
0,0,2,0,0,1,8,319,4,0,34,0,0,0,0,0,0.0222222222222222,0.499998884441374,2444
0,0,26,55,2,3,8,4185,1872,42,41,0,0,0,0,0,0.0222222222222222,0.499998884441374,2445
0,0,640,3666,116,5,6,204561,286181,3232,38,0,0,0,0,0,0.0222222222222222,0.499998884441374,2451
0,0,298,2841,40,2,7,118661,42270,2284,28,0,0,0,0,0,0.0222222222222222,0.499998884441374,2452
0,0,32,168,16,2,7,3248,1212,140,23,0,0,0,0,0,0.0222222222222222,0.499998884441374,2456
0,0,157,1694,1,2,8,39326,10839,1456,35,0,0,0,0,0,0.0222222222222222,0.499998884441374,2470
0,0,146,492,3,4,10,154166,141445,406,29,0,0,0,0,0,0.0222222222222222,0.499998884441374,2475
0,0,59,260,0,3,6,15764,2110,215,36,0,0,0,0,0,0.0222222222222222,0.499998884441374,2476
0,0,26,247,0,3,9,6042,589,232,37,0,0,0,0,0,0.0222222222222222,0.499998884441374,3252
0,0,11,97,0,2,0,3261,339,86,44,0,0,0,0,0,0.0222222222222222,0.499998884441374,64611
0,0,0,0,0,13,0,0,0,0,20,0,0,0,0,0,0.0222222222222222,0.499998884441374,378243
0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0.0222222222222222,0.499998884441374,381484
0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0.0222222222222222,0.499998884441374,390222
0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0.0222222222222222,0.499998884441374,390248
0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0.0222222222222222,0.499998884441374,390253
0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0.0222222222222222,0.499998884441374,426838
0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0.0222222222222222,0.499998884441374,426884
0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0.0222222222222222,0.499998884441374,433121
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0222222222222222,0.499998884441374,433146
0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0.0222222222222222,0.499998884441374,434351
0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0222222222222222,0.499998884441374,451576
0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0222222222222222,0.499998884441374,452199
