"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0.0106382978723404,0.0118138291262531,379620
0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0.0106382978723404,0.0118138291262531,379634
0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0.0106382978723404,0.0118138291262531,379706
0,0,0,0,7,1,0,0,0,0,39,0,0,0,0,0,0.0106382978723404,0.0118138291262531,379812
0,0,0,0,0,3,0,0,0,0,42,0,0,0,0,0,0.0106382978723404,0.0118138291262531,379930
0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0.0106382978723404,0.0118138291262531,381266
0,0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0.0106382978723404,0.0118138291262531,381446
0,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0.0106382978723404,0.0118138291262531,381907
0,0,0,0,0,2,0,0,0,0,54,0,0,0,0,0,0.0106382978723404,0.0118138291262531,381933
0,0,0,0,0,2,0,0,0,0,56,0,0,0,0,0,0.0106382978723404,0.0118138291262531,382655
0,0,0,0,0,1,0,0,0,0,62,0,0,0,0,0,0.0106382978723404,0.0118138291262531,383611
0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0.0106382978723404,0.0118138291262531,383629
0,0,0,0,0,2,0,0,0,0,74,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398620
0,0,0,0,3,1,0,0,0,0,75,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398653
0,0,0,0,0,1,0,0,0,0,76,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398667
0,0,0,0,0,2,0,0,0,0,78,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398693
0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398712
0,0,0,0,0,1,0,0,0,0,81,0,0,0,0,0,0.0106382978723404,0.0118138291262531,398755
0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432588
0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432589
0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432608
0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432620
0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432680
0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0.0106382978723404,0.0118138291262531,432694
0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0106382978723404,0.0118138291262531,433031
0,0,0,0,0,1,0,0,0,0,87,0,0,0,0,0,0.0106382978723404,0.0118138291262531,433211
0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0106382978723404,0.0118138291262531,433468
0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0106382978723404,0.0118138291262531,433472
0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0106382978723404,0.0118138291262531,433641
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0106382978723404,0.0118138291262531,434144
0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.0106382978723404,0.0118138291262531,434791
0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0106382978723404,0.0118138291262531,445358
0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0106382978723404,0.0118138291262531,445371
0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.0106382978723404,0.0118138291262531,445372
2,0,0,2,0,2,0,0,0,2,94,0,0,0,0,0,0.0106382978723404,0.0118138291262531,445540
0,0,0,0,0,1,0,0,0,0,93,0,0,0,0,0,0.0106382978723404,0.0118138291262531,445768
0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.0106382978723404,0.0118138291262531,447044
