"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
4,0,6,5,0,5,7,50,46,4,1,2,2,2,0,0,0.0297397769516729,0.0184611819096043,95
0,0,478,0,0,5,10,176326,78837,0,5,0,0,0,0,0,0.0588235294117647,0.000166389156678311,104
45,0,601,49,24,7,8,123156,50888,45,4,6,6,6,10,0.4,0.0396039603960396,0.143948071834818,105
12,0,36,12,30,7,7,2358,2175,12,3,4,4,4,0,0.333333333333333,0.031496062992126,0.241120659859223,106
0,0,38,0,1,2,7,916,866,0,8,0,0,0,0,0,0.0588235294117647,0.000166389156678311,107
490,0,2197,529,27,4,8,770374,518046,490,9,14,14,14,6,0.131868131868132,0.0330578512396694,1,108
0,0,12,0,4,2,9,442,424,0,6,0,0,0,0,0,0.0588235294117647,0.000166389156678311,315
0,0,17,0,0,1,9,1594,625,0,7,0,0,0,0,0,0.0588235294117647,0.000166389156678311,316
0,0,178,0,1,1,6,374999,222788,0,2,0,0,0,0,0,0.0588235294117647,0.000166389156678311,317
0,0,93,0,0,1,7,14414,5957,0,10,0,0,0,0,0,0.0588235294117647,0.000166389156678311,573
226,0,473,254,2,4,7,242420,100762,226,11,10,10,10,11,0.222222222222222,0.0454545454545455,0.288662652420454,576
130,0,118,152,1,4,6,59602,25192,130,15,8,8,8,6,0.285714285714286,0.0372960372960373,0.920935572873085,578
17,0,10,22,1,1,7,40510,3184,17,16,4,4,4,0,0.333333333333333,0.036281179138322,0.194612979349721,3234
24,0,44,34,0,1,0,18233,10831,24,13,4,4,4,0,0.333333333333333,0.0446927374301676,0.109339745594652,64569
0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0.0588235294117647,0.000166389156678311,177607
0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0.0588235294117647,0.000166389156678311,378243
0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0.0588235294117647,0.000166389156678311,415362
