"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,5,10,10,4,7,1744,1670,5,12,0,0,0,0,0,0.0769230769230769,0.149802179094131,4
3,0,19,4,274,6,6,17542,17238,3,1,4,4,4,0,0.333333333333333,0.0952380952380952,0.586323212440181,9
0,0,397,65,525,5,6,104405,40786,47,4,2,2,2,0,0,0.0902255639097744,0.70494479709153,20
0,0,9,0,0,1,10,1919,21,0,8,0,0,0,0,0,0.0769230769230769,0.149802179094131,710
0,0,13,6,102,1,10,7774,6818,0,7,4,4,4,0,0.333333333333333,0.0923076923076923,0.821942681056117,712
13,0,31,43,1,2,8,12850,5648,25,11,6,6,6,2,0.133333333333333,0.096,1,714
0,0,3,6,4,3,10,958,415,3,3,0,0,0,0,0,0.0769230769230769,0.149802179094131,1580
0,0,23,0,89,4,8,26862,11354,0,2,0,0,0,0,0,0.0769230769230769,0.149802179094131,2624
0,0,29,45,0,4,7,1551,1730,33,10,0,0,0,0,0,0.0769230769230769,0.149802179094131,2626
0,0,30,54,24,5,7,20698,7767,28,9,0,0,0,0,0,0.0769230769230769,0.149802179094131,2628
0,0,1,0,19,1,9,1803,0,0,5,0,0,0,0,0,0.0769230769230769,0.149802179094131,2679
0,0,0,0,8,1,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.149802179094131,395088
0,0,0,15,0,1,0,0,0,4,13,0,0,0,0,0,0.0769230769230769,0.149802179094131,433476
