"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
10,0,9,12,0,3,6,279,120,10,5,6,6,6,7,0.4,0.0555555555555556,0.106684338622055,415
193,0,570,212,18,4,10,100984,50098,193,1,10,10,10,7,0.177777777777778,0.0555555555555556,0.948642541815978,527
5,0,28,5,7,5,9,457,142,5,6,0,0,0,0,0,0.0909090909090909,0.00110789405010252,535
80,0,19,90,0,4,7,942,492,80,11,8,8,8,0,0.285714285714286,0.0480769230769231,1,543
0,0,4,0,0,3,6,134,18,0,7,0,0,0,0,0,0.0909090909090909,0.00110789405010252,818
15,0,3,23,0,2,6,42,370,15,10,6,6,6,0,0.4,0.0480769230769231,0.314281492084919,1528
0,0,0,0,0,4,7,0,0,0,4,0,0,0,0,0,0.0909090909090909,0.00110789405010252,1549
2,0,2,2,0,1,7,28,1,2,8,2,2,2,0,0,0.0454545454545455,0.0290565695196118,2677
12,0,1,17,0,1,8,7,1,12,9,4,4,4,0,0.333333333333333,0.0384615384615385,0.42051593448885,2678
0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0909090909090909,0.00110789405010252,378235
0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.0909090909090909,0.00110789405010252,378243
