"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,643,0,79,1,7,66886,12393,0,4,0,0,0,0,0,0.024390243902439,0.000842264744562596,25
2,0,1329,5,640,7,6,1426316,1130573,2,16,4,4,4,11,0.333333333333333,0.0259235255994815,0.00175213905144524,1483
0,0,58,0,169,1,7,4498,2729,0,7,0,0,0,0,0,0.024390243902439,0.000842264744562596,1485
398,0,5926,682,3264,5,9,2222161,1473917,602,1,24,24,24,34,0.101449275362319,0.0263852242744063,0.812926615504904,1489
0,0,6,0,2,1,10,741,435,0,19,0,0,0,0,0,0.024390243902439,0.000842264744562596,1490
0,0,12,0,0,1,10,1554,393,0,18,0,0,0,0,0,0.024390243902439,0.000842264744562596,1491
0,0,2,0,5,2,7,52,12,0,32,0,0,0,0,0,0.024390243902439,0.000842264744562596,1493
1,0,1,16,58,2,7,149,0,1,39,4,4,4,10,0.333333333333333,0.0249221183800623,0.0275845167059844,2456
38,0,154,169,557,1,9,40196,47371,157,12,12,12,12,20,0.272727272727273,0.0251889168765743,0.296261411224765,2510
0,0,177,0,87,1,6,31257,12469,0,6,0,0,0,0,0,0.024390243902439,0.000842264744562596,2582
0,0,860,0,111,4,9,158894,109013,0,5,0,0,0,0,0,0.024390243902439,0.000842264744562596,2583
0,0,160,0,39,2,7,43895,41551,0,8,0,0,0,0,0,0.024390243902439,0.000842264744562596,2584
26,0,1247,40,1928,4,7,271810,50800,26,2,4,4,4,0,0.333333333333333,0.0260756192959583,0.0087192770542327,2585
27,0,103,30,517,3,8,48810,14151,27,9,6,6,6,0,0.266666666666667,0.0253807106598985,0.0532698965363028,2587
0,0,111,0,36,4,9,38333,17198,0,13,0,0,0,0,0,0.024390243902439,0.000842264744562596,2588
3,0,252,5,307,1,9,59854,39949,3,15,0,0,0,0,0,0.024390243902439,0.000842264744562596,2589
0,0,141,0,34,2,7,24984,13582,0,14,0,0,0,0,0,0.024390243902439,0.000842264744562596,2590
13,0,147,31,701,4,10,104112,60845,13,10,6,6,6,0,0.4,0.0214938205265986,0.0656564744729738,2591
0,0,521,0,282,1,10,214753,160809,0,25,0,0,0,0,0,0.024390243902439,0.000842264744562596,2592
0,0,14,0,116,1,10,3154,3018,0,21,0,0,0,0,0,0.024390243902439,0.000842264744562596,2593
0,0,8,0,12,3,7,118,90,0,27,0,0,0,0,0,0.024390243902439,0.000842264744562596,2594
0,0,19,0,11,1,7,26418,24824,0,26,0,0,0,0,0,0.024390243902439,0.000842264744562596,2595
0,0,105,0,89,3,10,17069,12032,0,22,0,0,0,0,0,0.024390243902439,0.000842264744562596,2596
0,0,172,0,15,2,8,41306,30489,0,33,0,0,0,0,0,0.024390243902439,0.000842264744562596,2597
0,0,42,0,8,3,7,11218,2077,0,3,0,0,0,0,0,0.024390243902439,0.000842264744562596,2598
1,0,13,1,2,1,8,11768,2874,1,35,4,4,4,17,0.333333333333333,0.0262639527248851,0.0035883182160454,2599
118,0,205,174,335,5,7,31805,20315,156,36,12,12,12,9,0.272727272727273,0.0240384615384615,0.932924827065732,2600
45,0,197,50,143,3,7,133219,104756,45,34,8,8,8,21,0.214285714285714,0.026281208935611,0.112180565011117,2605
0,0,2,0,2,1,8,2954,460,0,31,0,0,0,0,0,0.024390243902439,0.000842264744562596,2608
53,0,22,56,160,3,9,2959,1989,54,38,10,10,10,15,0.311111111111111,0.0249532127261385,0.131758251025117,2614
0,0,54,0,23,3,8,5294,4656,0,40,0,0,0,0,0,0.024390243902439,0.000842264744562596,2618
49,0,6,59,291,3,8,1625,184,49,37,8,8,8,0,0.428571428571429,0.0192678227360308,1,2622
6,0,1,10,42,3,0,8,4,6,41,2,2,2,0,0,0.0212879191059074,0.0189878989818285,378228
0,0,0,0,0,13,0,0,0,0,23,0,0,0,0,0,0.024390243902439,0.000842264744562596,378243
0,0,0,0,43,1,0,0,0,0,11,0,0,0,0,0,0.024390243902439,0.000842264744562596,382535
0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0.024390243902439,0.000842264744562596,382551
0,0,0,0,32,1,0,0,0,0,20,0,0,0,0,0,0.024390243902439,0.000842264744562596,384963
0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0.024390243902439,0.000842264744562596,384972
0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0.024390243902439,0.000842264744562596,385004
0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0.024390243902439,0.000842264744562596,385010
0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.024390243902439,0.000842264744562596,447422
