"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
220,0,73,291,80,3,6,7798,429,220,1,14,14,14,66.8974358974359,0.373626373626374,0.0385232744783307,0.214566858819446,415
285,0,91,466,5,3,6,9788,949,285,2,12,12,12,19.5,0.393939393939394,0.0323886639676113,0.499130440405237,818
408,0,131,461,48,1,8,6291,1546,408,4,20,20,20,80.3461538461539,0.263157894736842,0.0351390922401171,0.241553229279182,832
2015,0,459,2549,258,1,9,33382,13153,2015,5,36,36,36,51.5,0.13015873015873,0.037037037037037,0.973234364428605,838
3,0,13,17,25,3,8,1042,52,3,6,8,8,8,130.397435897436,0.428571428571429,0.0403361344537815,0.00231449466648764,2151
4061,0,1013,4452,838,3,10,187682,127957,4061,25,36,36,36,100,0.123809523809524,0.0382775119617225,1,2234
45,0,23,61,26,6,10,2799,1281,45,9,10,10,10,8.5,0.4,0.0310880829015544,0.0443456881404946,2241
123,0,44,140,24,1,7,6477,799,123,10,10,10,10,7,0.4,0.032967032967033,0.0817842198859576,2242
45,0,8,50,35,2,6,727,41,45,12,6,6,6,0,0.4,0.0229226361031519,0.0189436258988696,2244
1141,0,228,1329,163,2,7,20615,3943,1141,3,32,32,32,31.5,0.157258064516129,0.0392798690671031,0.903185011401311,2249
88,0,27,118,27,4,9,7268,1261,88,11,8,8,8,0,0.428571428571429,0.0341394025604552,0.17804944192785,2253
42,0,15,51,9,1,7,3064,247,42,14,8,8,8,0,0.428571428571429,0.0297029702970297,0.0369718696262904,2256
16,0,7,16,2,2,8,665,23,16,13,8,8,8,0,0.428571428571429,0.0356083086053412,0.0112515253079137,2263
70,0,29,101,94,2,6,2310,563,70,16,8,8,8,0,0.428571428571429,0.0278099652375435,0.102414619213304,2497
0,0,1,0,0,1,10,109,1,0,17,0,0,0,0,0,0.04,0.00551536328568811,2512
0,0,1,0,3,1,6,200,0,0,18,0,0,0,0,0,0.04,0.00551536328568811,2513
5,0,3,16,5,2,9,279,6,5,19,4,4,4,0,0.333333333333333,0.0370942812982998,0.00473319951644826,2514
16,0,1,16,17,2,9,577,37,16,20,2,2,2,0,0,0.00395582660293391,0.0603125616056592,2516
4,0,2,12,8,1,6,124,5,4,21,4,4,4,0,0.333333333333333,0.0312907431551499,0.0157767186511708,2523
282,0,43,292,13,1,6,4202,1072,282,22,10,10,10,3.94871794871795,0.444444444444444,0.0357675111773472,0.186619516048666,2530
1,0,0,3,0,5,7,0,0,1,15,2,2,2,0,0,0.0321285140562249,0.00132003582000363,2600
1,0,4,1,5,4,9,314,18,1,24,2,2,2,0,0,0.0380348652931854,0.000189681825319028,3240
0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0.04,0.00551536328568811,378243
26,0,0,26,0,2,0,0,0,26,23,6,6,6,0,0.4,0.0202874049027895,0.189696701715897,388294
16,0,0,17,0,0,0,0,0,16,7,2,2,2,0,0,0.027027027027027,0.00257947374953896,447393
