"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0.0133333333333333,0.000469265727874714,167
415,0,141,462,4,2,7,56108,19798,449,27,24,24,24,69,0.195652173913043,0.0216564237635353,0.382958118979409,536
0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0.0133333333333333,0.000469265727874714,826
8,0,2,8,0,3,10,59,25,8,65,2,2,2,0,0,0.0165437066845518,0.022533033773782,889
185,0,870,224,6,3,10,886417,289476,200,59,16,16,16,158.274509803922,0.216666666666667,0.0217519106407995,0.116397607936225,2038
1302,0,667,1469,0,3,6,83032,37274,1368,20,56,56,56,242.6,0.0675324675324675,0.0218546958062611,1,2039
154,0,272,172,11,2,9,83787,34247,154,22,12,12,12,0,0.272727272727273,0.0213996529786003,0.0332344381136197,2040
25,0,754,28,2,4,10,73186,36755,25,2,4,4,4,0,0.333333333333333,0.0204872646733112,0.042616080593923,2041
223,0,778,348,2,1,10,803471,736263,327,4,18,18,18,142.882590612002,0.274509803921569,0.0218160377358491,0.123065430047438,2042
93,0,307,112,0,3,8,71621,17274,101,25,14,14,14,159.815923945336,0.241758241758242,0.0218160377358491,0.0126981887257148,2043
497,0,489,821,2,1,10,24577,25440,791,5,28,28,28,117.274509803922,0.169312169312169,0.0216311020169541,0.418923075261436,2046
527,0,162,577,0,1,8,16489,9544,536,47,26,26,26,66.5234699940582,0.196923076923077,0.0214058432166618,0.779373836386788,2050
12,0,61,12,0,1,6,1848,562,12,12,6,6,6,0,0.266666666666667,0.0208450704225352,0.0206467923542227,3182
0,0,35,0,0,1,9,960,102,0,44,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3183
218,0,518,227,0,3,9,57895,99460,223,14,28,28,28,180.35935828877,0.195767195767196,0.0218096080165046,0.118133887474294,3184
35,0,30,35,0,3,8,6351,2416,35,17,10,10,10,33,0.311111111111111,0.020868584320361,0.0882697177563326,3185
54,0,34,60,0,3,7,827,327,54,13,14,14,14,33.5818181818182,0.263736263736264,0.0211670480549199,0.0621338095007763,3186
21,0,27,26,0,1,9,1550,803,21,18,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3187
3,0,4,3,0,1,7,43,2,3,32,2,2,2,0,0,0.0202739726027397,0.0147093630010584,3188
25,0,26,32,0,2,7,1521,863,25,16,12,12,12,17,0.303030303030303,0.0213996529786003,0.0852864431834282,3191
8,0,5,8,0,1,9,649,263,8,19,6,6,6,48,0.4,0.0216058394160584,0.0319564261266413,3192
0,0,2,0,0,2,8,231,7,0,70,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3193
0,0,15,0,0,3,6,2758,463,0,26,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3195
207,0,211,309,2,3,7,25643,15482,210,42,12,12,12,56,0.393939393939394,0.021624780829924,0.688382200269033,3197
0,0,2,0,0,1,8,725,94,0,33,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3198
3,0,16,3,1,1,6,356,50,3,21,2,2,2,0,0,0.0208274697438784,0.00307912055606463,3200
0,0,1,0,0,2,7,34,16,0,73,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3201
56,0,26,59,0,4,6,2644,317,56,31,14,14,14,37.6666666666667,0.285714285714286,0.0213934663197456,0.0336260576557848,3202
4,0,5,4,52,1,8,212,5,4,7,2,2,2,0,0,0.0182896688086999,0.0367769208326291,3204
12,0,5,12,0,3,10,588,227,12,23,4,4,4,0,0.333333333333333,0.0196808510638298,0.00655540701215285,3205
9,0,8,9,1,4,8,689,214,9,62,4,4,4,0,0.333333333333333,0.0213996529786003,0.0409050411633961,3209
0,0,1,0,0,1,6,12,4,0,9,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3212
1,0,6,12,0,1,10,4407,479,1,52,4,4,4,0,0.333333333333333,0.0210227272727273,0.154940354637639,3213
3,0,1,5,0,4,9,1934,394,3,43,2,2,2,0,0,0.0194839389152185,0.00256584539308636,3214
0,0,3,0,0,2,10,15,34,0,64,0,0,0,0,0,0.0133333333333333,0.000469265727874714,3360
38,0,21,38,0,3,0,1908,111,38,61,8,8,8,0,0.428571428571429,0.0210048254328697,0.143535884654369,64715
0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0.0133333333333333,0.000469265727874714,378243
9,0,0,9,0,2,0,0,0,9,75,2,2,2,0,0,0.017169373549884,0.0514886261188039,381076
0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0.0133333333333333,0.000469265727874714,385409
