"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
13244,0,2837,13878,64,4,8,1374633,1225285,13244,12,14,14,14,0,0.241758241758242,0.00538116591928251,1,152
212,0,839,234,26,1,8,493597,373803,212,8,10,10,10,14,0.355555555555556,0.0192926045016077,0.234037586335162,161
338,0,2096,394,60,4,10,2094652,1780583,338,5,8,8,8,12,0.428571428571429,0.0192926045016077,0.0893086343380098,165
1638,0,3432,1763,89,1,10,4630738,3269455,1638,4,14,14,14,10,0.241758241758242,0.0153846153846154,0.951042544789218,166
155,0,436,165,0,1,10,98947,24865,155,9,8,8,8,6,0.357142857142857,0.0184615384615385,0.0795747451524614,2194
21,0,75,26,5,2,8,3141,1803,21,2,4,4,4,6,0.333333333333333,0.0134529147982063,0.0158277075658695,2196
0,0,20,0,15,1,6,387,277,0,6,0,0,0,0,0,0.0769230769230769,0.00371043628400698,2202
279,0,3,329,0,4,8,386,27,279,11,8,8,8,0,0.428571428571429,0.0191082802547771,0.188747304153097,2208
0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.00371043628400698,378243
0,0,0,0,102,2,0,0,0,0,1,0,0,0,0,0,0.0769230769230769,0.00371043628400698,378323
0,0,0,0,8,2,0,0,0,0,3,0,0,0,0,0,0.0769230769230769,0.00371043628400698,381933
0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.00371043628400698,382556
90,0,0,94,0,1,0,0,0,90,13,6,6,6,0,0.4,0.0181268882175227,0.0589030165850823,444140
