"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
17,0,1332,2317,608,7,9,613401,751945,2101,1,4,4,4,2,0.333333333333333,0.0635838150289017,0.273644981481239,259
73,0,500,2504,160,5,6,34046,35585,2323,6,4,4,4,0,0.333333333333333,0.0521327014218009,0.994319595046075,2073
1,0,130,749,36,5,6,26182,9304,671,11,2,2,2,0,0,0.0621468926553672,0.00722035191350519,2074
173,0,275,1363,28,4,7,16077,10179,1155,7,6,6,6,2,0.133333333333333,0.0635838150289017,1,2318
0,0,2,57,92,4,7,1354,807,57,12,0,0,0,0,0,0.0833333333333333,0.0133423316309751,2319
0,0,389,2,16,3,6,544003,150647,2,3,0,0,0,0,0,0.0833333333333333,0.0133423316309751,2929
0,0,274,44,4,2,10,64547,30023,44,2,0,0,0,0,0,0.0833333333333333,0.0133423316309751,2931
0,0,27,1,5,2,9,22709,23968,1,4,0,0,0,0,0,0.0833333333333333,0.0133423316309751,2932
0,0,28,95,109,1,7,8805,0,95,5,0,0,0,0,0,0.0833333333333333,0.0133423316309751,2934
0,0,60,396,1,3,0,8175,3384,335,10,0,0,0,0,0,0.0833333333333333,0.0133423316309751,194327
0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0.0833333333333333,0.0133423316309751,378243
0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0.0833333333333333,0.0133423316309751,452605
