"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
0,0,0,0,0,6,6,0,0,0,49,0,0,0,0,0,0.0119047619047619,0.00250825472364076,15
0,0,0,0,0,5,7,0,0,0,38,0,0,0,0,0,0.0119047619047619,0.00250825472364076,198
0,0,0,0,0,5,9,0,0,0,55,0,0,0,0,0,0.0119047619047619,0.00250825472364076,247
0,0,0,0,8,4,7,0,0,0,26,0,0,0,0,0,0.0119047619047619,0.00250825472364076,261
0,0,0,0,2,6,9,0,0,0,47,0,0,0,0,0,0.0119047619047619,0.00250825472364076,282
2,0,4,9,0,3,6,4,5,2,8,8,8,8,4,0.357142857142857,0.0125814764286797,0.150577889306577,415
0,0,0,0,0,4,10,0,0,0,14,0,0,0,0,0,0.0119047619047619,0.00250825472364076,517
1,0,1,1,5,6,9,2,15,1,24,6,6,6,5,0.4,0.01260249013058,0.0345621909719483,526
185,0,1198,193,896,4,10,33275,30149,185,1,10,10,10,0,0.311111111111111,0.0125833838690115,1,527
0,0,0,0,51,5,9,0,0,0,15,0,0,0,0,0,0.0119047619047619,0.00250825472364076,535
185,0,35,197,114,4,7,657,406,185,83,10,10,10,0,0.311111111111111,0.0125948406676783,0.991492865997353,543
0,0,0,0,0,3,9,0,0,0,43,0,0,0,0,0,0.0119047619047619,0.00250825472364076,659
0,0,0,0,2,5,7,0,0,0,37,0,0,0,0,0,0.0119047619047619,0.00250825472364076,677
0,0,0,0,10,2,9,0,0,0,17,0,0,0,0,0,0.0119047619047619,0.00250825472364076,678
0,0,0,0,0,3,6,0,0,0,10,0,0,0,0,0,0.0119047619047619,0.00250825472364076,818
0,0,0,0,0,2,8,0,0,0,32,0,0,0,0,0,0.0119047619047619,0.00250825472364076,1033
20,0,5,26,34,2,6,229,136,20,82,6,6,6,0,0.4,0.0125586321682554,0.474248438527972,1528
12,0,7,17,3,1,6,54,28,12,16,8,8,8,4,0.357142857142857,0.01260249013058,0.596136877980136,1533
0,0,0,0,51,2,7,0,0,0,3,0,0,0,0,0,0.0119047619047619,0.00250825472364076,1539
