"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",317,14,14,14,0,0.131868131868132,0.0814814814814815,0.00161036428377161
"2",382974,0,0,0,0,0,0.0833333333333333,0.000157062265308079
"3",106,52,52,52,0,0.0271493212669683,0.120879120879121,0.359027203627719
"4",104,60,60,60,0,0.0203389830508475,0.129411764705882,1
"5",378243,0,0,0,0,0,0.0833333333333333,0.000157062265308079
"6",315,46,46,46,0,0.0289855072463768,0.126436781609195,0.473621116862049
"7",382301,0,0,0,0,0,0.0833333333333333,0.000157062265308079
"8",316,22,22,22,0,0.12987012987013,0.129411764705882,0.0113308070551458
"9",107,36,36,36,0.8,0.0476190476190476,0.132530120481928,0.0496512587683271
"10",108,44,44,44,15.8,0.0380549682875264,0.150684931506849,0.104720960215436
"11",576,50,50,50,10,0.0293877551020408,0.146666666666667,0.604712092385747
"12",3234,0,0,0,0,0,0.0833333333333333,0.000157062265308079
