"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",0,0,0,0,0,0.111111111111111,0.237172250939032,0.0836363636363636
"2",0,0,0,0,0,0.111111111111111,0.237172250939032,0.0836363636363636
"3",0,0,0,0,0,0.111111111111111,0.237172250939032,0.0836363636363636
"4",0,0,0,0,0,0.111111111111111,0.237172250939032,0.0836363636363636
"5",6,6,6,3,0.266666666666667,0.114285714285714,0.298213111630851,0.104151885061215
"6",4,4,4,0,0.333333333333333,0.102564102564103,0.696773987842277,0.130424471457158
"7",0,0,0,0,0,0.111111111111111,0.237172250939032,0.0836363636363636
"8",4,4,4,0,0.333333333333333,0.102564102564103,0.696774016209393,0.130424471457158
"9",6,6,6,0,0.266666666666667,0.0769230769230769,1,0.216817353842651
