"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",527,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"2",276,8,8,8,21.3333333333333,0.428571428571429,0.0159066808059385,0.00274212804293547
"3",2282,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"4",808,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"5",1307,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"6",526,6,6,6,0,0.133333333333333,0.0157166806370495,0.00505059716557444
"7",670,20,20,20,9.03333333333333,0.126315789473684,0.0158864647320483,0.15446153801473
"8",199,8,8,8,13,0.214285714285714,0.0159033078880407,0.00667860996267564
"9",587,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"10",411,34,34,34,9.8,0.0570409982174688,0.0158127767235927,0.122868386629095
"11",258,12,12,12,1.33333333333333,0.181818181818182,0.0158361486486486,0.00775162622449545
"12",319,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"13",273,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"14",443,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"15",197,16,16,16,12.6666666666667,0.133333333333333,0.0158763759525826,0.0934213122907424
"16",412,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"17",177,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"18",721,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"19",2126,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"20",1449,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"21",693,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"22",379675,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"23",379690,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"24",432589,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"25",432588,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"26",24,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"27",1401,30,30,30,0,0.00459770114942529,0.0158461863511515,0.210398756206369
"28",430,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"29",380118,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"30",765,38,38,38,1.5,0.0341394025604552,0.0158428390367554,0.46078338492552
"31",829,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"32",381082,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"33",381084,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"34",1569,8,8,8,0,0.214285714285714,0.0157397691500525,0.0459912710682904
"35",381114,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"36",433146,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"37",381295,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"38",26,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"39",3080,4,4,4,0,0,0.0157166806370495,0.0034810022632142
"40",378243,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"41",432600,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"42",433641,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"43",432620,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"44",382758,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"45",382814,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"46",3071,18,18,18,0,0.0392156862745098,0.0158595897652781,0.0244847314070085
"47",1407,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"48",341,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"49",383631,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"50",388,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"51",2245,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"52",1404,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"53",2978,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"54",2977,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"55",1120,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"56",434003,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"57",433973,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"58",389171,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"59",2972,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"60",389186,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"61",1460,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"62",395937,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"63",395939,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"64",395960,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"65",432896,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"66",401620,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"67",404802,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"68",405723,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"69",433703,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"70",2986,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"71",2076,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"72",417,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"73",589,84,84,84,51,0.0126219162363741,0.0159337157425112,1
"74",432641,0,0,0,0,0,0.0131578947368421,0.000596046127116713
"75",2542,40,40,40,13.3333333333333,0.0282051282051282,0.0158898305084746,0.390724910731908
"76",3082,14,14,14,0,0.021978021978022,0.0158461863511515,0.0117978458371964
