"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",379027,0,0,0,0,0,0.0222222222222222,0.147397719889276
"2",433468,0,0,0,0,0,0.0222222222222222,0.147397719889276
"3",37,6,6,6,5,0.4,0.022976501305483,0.0826758032439061
"4",65,0,0,0,0,0,0.0222222222222222,0.147397719889276
"5",378243,0,0,0,0,0,0.0222222222222222,0.147397719889276
"6",46,0,0,0,0,0,0.0222222222222222,0.147397719889276
"7",384701,0,0,0,0,0,0.0222222222222222,0.147397719889276
"8",68,0,0,0,0,0,0.0222222222222222,0.147397719889276
"9",36,20,20,20,12,0.0421052631578947,0.0231822971548999,1
"10",85,0,0,0,0,0,0.0222222222222222,0.147397719889276
"11",62,2,2,2,0,0,0.023121387283237,0.025232576789018
"12",45,0,0,0,0,0,0.0222222222222222,0.147397719889276
"13",54,0,0,0,0,0,0.0222222222222222,0.147397719889276
"14",60,0,0,0,0,0,0.0222222222222222,0.147397719889276
"15",38,2,2,2,0,0,0.0170674941815361,0.0938946387775679
"16",44,0,0,0,0,0,0.0222222222222222,0.147397719889276
"17",47,0,0,0,0,0,0.0222222222222222,0.147397719889276
"18",51,0,0,0,0,0,0.0222222222222222,0.147397719889276
"19",392062,0,0,0,0,0,0.0222222222222222,0.147397719889276
"20",43,0,0,0,0,0,0.0222222222222222,0.147397719889276
"21",55,0,0,0,0,0,0.0222222222222222,0.147397719889276
"22",48,0,0,0,0,0,0.0222222222222222,0.147397719889276
"23",59,0,0,0,0,0,0.0222222222222222,0.147397719889276
"24",50,8,8,8,8,0.214285714285714,0.0230125523012552,0.136719536967241
"25",52,10,10,10,0,0.177777777777778,0.0229166666666667,0.565661009469952
"26",56,0,0,0,0,0,0.0222222222222222,0.147397719889276
"27",392085,0,0,0,0,0,0.0222222222222222,0.147397719889276
"28",64,0,0,0,0,0,0.0222222222222222,0.147397719889276
"29",40,0,0,0,0,0,0.0222222222222222,0.147397719889276
"30",67,0,0,0,0,0,0.0222222222222222,0.147397719889276
"31",3170,0,0,0,0,0,0.0222222222222222,0.147397719889276
"32",69,0,0,0,0,0,0.0222222222222222,0.147397719889276
"33",445372,0,0,0,0,0,0.0222222222222222,0.147397719889276
"34",392525,0,0,0,0,0,0.0222222222222222,0.147397719889276
"35",398693,0,0,0,0,0,0.0222222222222222,0.147397719889276
"36",88,0,0,0,0,0,0.0222222222222222,0.147397719889276
"37",87,0,0,0,0,0,0.0222222222222222,0.147397719889276
"38",90,0,0,0,0,0,0.0222222222222222,0.147397719889276
"39",86,0,0,0,0,0,0.0222222222222222,0.147397719889276
"40",94773,0,0,0,0,0,0.0222222222222222,0.147397719889276
"41",140635,0,0,0,0,0,0.0222222222222222,0.147397719889276
"42",91,0,0,0,0,0,0.0222222222222222,0.147397719889276
"43",378226,0,0,0,0,0,0.0222222222222222,0.147397719889276
"44",81,4,4,4,0,0.333333333333333,0.0228215767634855,0.0698087211898349
"45",429743,0,0,0,0,0,0.0222222222222222,0.147397719889276
