"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",371,8,8,8,3,0.0714285714285714,0.122448979591837,0.887845316685151
"2",98,4,4,4,2.66666666666667,0.333333333333333,0.133333333333333,0.157063664164141
"3",458,6,6,6,3,0.133333333333333,0.125,0.259297845414599
"4",1831,2,2,2,0,0,0.0869565217391304,0.0657667822929415
"5",378243,0,0,0,0,0,0.142857142857143,0.00850944704789224
"6",1832,8,8,8,0,0,0.0759493670886076,1
"7",389053,0,0,0,0,0,0.142857142857143,0.00850944704789224
