"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",2,2,2,0,0,0.0919540229885057,0.999999105254264,0.16597510373444
"2",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"3",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"4",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"5",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"6",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"7",2,2,2,0,0,0.0919540229885057,1,0.16597510373444
"8",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
"9",0,0,0,0,0,0.111111111111111,0.500000089937035,0.0954356846473029
