"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",1116,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"2",2119,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"3",379928,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"4",2703,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"5",378243,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"6",2702,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"7",1111,22,22,22,1,0.337662337662338,0.0382452193475816,0.986868044609384
"8",2118,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"9",1882,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"10",1112,18,18,18,0,0.470588235294118,0.0374862183020948,0.290814315285246
"11",2901,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"12",1880,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"13",1881,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"14",2120,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"15",446863,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"16",1883,18,18,18,3.5,0.470588235294118,0.0398593200468933,0.0185398500530968
"17",380045,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"18",2902,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"19",2122,24,24,24,12,0.260869565217391,0.0398126463700234,0.0786310421454724
"20",2379,6,6,6,10.5,0.4,0.0393063583815029,0.00230348227682937
"21",380052,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"22",2380,18,18,18,0,0.470588235294118,0.0391705069124424,0.0645558603496373
"23",2382,18,18,18,0,0.470588235294118,0.0396732788798133,0.0512150824341795
"24",2381,18,18,18,0,0.470588235294118,0.0391705069124424,0.0482794582142505
"25",2383,20,20,20,14,0.4,0.0394889663182346,0.110721080943756
"26",2123,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"27",1119,4,4,4,0.5,0.333333333333333,0.0381593714927048,0.00226783841047617
"28",2386,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"29",380071,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"30",2669,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"31",64480,18,18,18,32.1666666666667,0.470588235294118,0.0400943396226415,0.0119686474780186
"32",194322,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"33",1117,24,24,24,8,0.282608695652174,0.0392156862745098,1
"34",363832,0,0,0,0,0,0.0285714285714286,0.000563190696200291
"35",380037,0,0,0,0,0,0.0285714285714286,0.000563190696200291
