"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",276,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"2",415,138,138,138,8.27655493246945,0.0391410134348884,0.00818206448117042,0.000444911756313429
"3",261,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"4",446670,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"5",671,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"6",262,360,360,360,44.5536357442193,0.00795419374806561,0.00818428184281843,0.0329866818571924
"7",286,26,26,26,0,0.190769230769231,0.00816966942595899,5.54050785212454e-05
"8",587,10,10,10,0,0.266666666666667,0.00817099567099567,7.22852127644601e-07
"9",259,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"10",610,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"11",756,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"12",253,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"13",258,82,82,82,6.0048903831573,0.136103583258055,0.00818162115301257,0.000447580451338484
"14",434144,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"15",322,238,238,238,51.3110188429752,0.0189341559408574,0.00818206448117042,0.0997887772074147
"16",319,358,358,358,31.0172564551445,0.00832511775659985,0.00818117787289375,1
"17",273,14,14,14,0,0.351648351648352,0.00816922743994806,1.35797343616535e-06
"18",434143,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"19",1587,192,192,192,38.6584038126985,0.0208333333333333,0.00818428184281843,0.000280118688601346
"20",443,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"21",197,180,180,180,26.6699955756308,0.0320297951582868,0.00818339475395621,0.0019971090285457
"22",23,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"23",760,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"24",189,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"25",3014,98,98,98,0,0.0980433410477593,0.00817188007360104,0.362379417076966
"26",379589,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"27",193,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"28",379597,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"29",185,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"30",379607,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"31",179,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"32",182,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"33",234,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"34",1951,206,206,206,2.85758673890749,0.025195358749704,0.00817409191793428,0.863922330877547
"35",2126,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"36",249,142,142,142,0,0.0335630806113275,0.00817011145979872,0.0253408863195413
"37",3017,192,192,192,0,0.0275959860383944,0.00817586225567167,0.307684930125219
"38",379634,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"39",379637,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"40",379642,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"41",693,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"42",1448,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"43",2129,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"44",432589,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"45",379706,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"46",665,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"47",2394,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"48",254,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"49",446844,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"50",668,106,106,106,0,0.0955974842767296,0.00814147840621125,0.484636654374641
"51",379862,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"52",379870,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"53",379890,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"54",380112,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"55",282,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"56",433031,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"57",251,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"58",380479,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"59",1979,194,194,194,17.9658352200004,0.0275626302013781,0.00818250785737509,0.0774368931639679
"60",380730,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"61",829,60,60,60,25.1631436386334,0.170621468926554,0.00818383827434827,5.34238271313637e-05
"62",433088,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"63",380968,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"64",257,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"65",245,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"66",433146,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"67",381323,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"68",3107,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"69",432694,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"70",445371,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"71",445339,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"72",393,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"73",432600,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"74",433641,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"75",247,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"76",383224,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"77",378243,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"78",383633,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"79",383645,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"80",432683,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"81",432797,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
"82",432608,0,0,0,0,0,0.00657894736842105,3.39312487576117e-09
