"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"2",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"3",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"4",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"5",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"6",2,2,2,0,0,0.0123456790123457,0.713517825681189,0.131918944648443
"7",0,0,0,0,0,0.111111111111111,0.249997806980685,0.0891472868217054
"8",2,2,2,0,0,0.0123456790123457,0.713525216664293,0.131918944648443
"9",4,4,4,1,0,0.0177777777777778,1,0.201278389772882
