"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",2,2,4,2,0,0.0120447375967881,0,0.095389507154213
"2",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"3",1,1,2,0,0,0.0120412844036697,0,0.050344462109168
"4",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"5",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"6",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"7",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"8",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"9",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"10",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"11",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"12",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"13",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"14",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"15",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"16",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"17",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"18",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"19",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"20",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"21",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"22",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"23",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"24",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"25",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"26",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"27",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"28",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"29",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"30",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"31",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"32",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"33",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"34",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"35",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"36",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"37",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"38",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"39",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"40",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"41",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"42",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"43",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
