"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",18,18,36,168.366666666667,0.0206349206349206,0.0773480662983425,1,0.167179250962172
"2",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"3",1,1,2,0,0,0.0686274509803922,0.0015175350063599,0.023295374327913
"4",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"5",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"6",6,6,12,32,0.0606060606060606,0.0740740740740741,0.273199426679404,0.0234094007236457
"7",7,7,14,29.5,0.0659340659340659,0.074468085106383,0.809441800999885,0.0451967653215443
"8",2,2,4,0,0.166666666666667,0.0710659898477157,0.351419198218257,0.0396981234488906
"9",11,11,22,0.5,0.0606060606060606,0.0732984293193717,0.424189008317728,0.0450078431958617
"10",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"11",12,12,24,25.8333333333333,0.0253623188405797,0.0740740740740741,0.279162827377741,0.0306952788405482
"12",4,4,8,0.5,0.178571428571429,0.0732984293193717,0.0483457009797633,0.0213978466446845
"13",1,1,2,0,0,0.0682926829268293,0.0452992119960187,0.0183472861188215
"14",13,13,26,49.6333333333333,0.0276923076923077,0.0760869565217391,0.328311848525199,0.0449311487940031
"15",5,5,10,37.4,0,0.074468085106383,0.0502503776387971,0.132012517259769
"16",1,1,2,0,0,0.0740740740740741,0.0150997373320062,0.0163026477977014
"17",2,2,4,0,0,0.0686274509803922,0.0282385546771884,0.0363704702756681
"18",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"19",1,1,2,0,0,0.0663507109004739,0.000912840788330452,0.0354496118894755
"20",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"21",13,13,26,49.6333333333333,0.0276923076923077,0.0760869565217391,0.328311848525199,0.0352955379532199
"22",2,2,4,32,0,0.0717948717948718,0.0302270419762719,0.0474571370643156
"23",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"24",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"25",3,3,6,0,0.133333333333333,0.0710659898477157,0.0698588560697398,0.0235243018432741
"26",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"27",11,11,22,0.5,0.0606060606060606,0.0732984293193717,0.424189008317728,0.0463458425299369
"28",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
"29",0,0,0,0,0,0.0344827586206897,0,0.0152803286371414
