"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",1307,3,3,6,4,0.0666666666666667,0.171428571428571,1
"2",198,1,1,2,0,0,0.122448979591837,0.778191759059788
"3",438,2,2,4,0,0.166666666666667,0.166666666666667,0.454867881851763
"4",2245,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
"5",378243,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
"6",2042,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
"7",670,2,2,4,0,0.166666666666667,0.157894736842105,0.545816558639315
