,temp,degree_centralization,betweenness_centralization,closeness_centralization,eigenvector_centralization,global_clustcoeff,assortativity,diameter,avg_degree,modularity,density,avg_path_length,vertices,edges
29,130_296,2.654545455,0.256296296,0.131810416,0.784234863,0.611111111,-0.429105516,17,9.454545455,0,0.945454545,1.464285714,11,52
27,128_369,2,0,0,Inf,0,-0.5,11,6,0,6,1,2,6
21,127_352,2,0,0,Inf,0,0,0,2,0,2,0,2,2
20,126_276,3.366666667,0.037330719,0.06268337,0.740633021,0.86002886,-0.063657835,14,31.2,0,1.3,1.247368421,25,390
19,125_34,0.619047619,0.266666667,0.233195971,0.389725152,0.882352941,-0.447368421,15,6.285714286,-0.185950413,1.047619048,1.266666667,7,22
18,124_59,2.294117647,0.111215659,0.109411676,0.640326034,0.677419355,-0.237298964,28,23.29411765,0,1.455882353,1.428571429,17,198
15,123_169,0.23178428,0.001175433,0.001425162,0.977847284,0.882352941,-0.27,36,0.761904762,0,0.009179575,1.266666667,84,32
14,122_272,0.621052632,0,0.015273478,0.918563791,1,-0.289655172,145,2.2,0,0.115789474,1,20,22
12,118_232,0.752380952,0.040816327,0.044578778,0.861356752,0.714285714,0.212121212,41,3.466666667,0,0.247619048,1.533333333,15,26
11,117_75,0.5,0.0625,0.239814815,0.479482396,0.75,-0.666666667,2013,4,-0.26,1,1.166666667,5,10
10,116_83,0.311111111,0,0.110185185,0.25,1,0,7401,11.2,-0.125,1.244444444,1,10,56
7,116_30,0.444444444,0,0.094444444,0.5,1,0,21,6,-0.166666667,0.666666667,1,10,30
6,114_81,1,0,0,1.5,0,0,0,1,0,0.333333333,0,4,2
5,107_252,0.60960961,0.010030864,0.008824896,0.96117655,0.576923077,0.057441253,13,2.054054054,0,0.057057057,1.619047619,37,38
4,106_20,1.290347293,0.040128948,0.006849944,0.925982993,0.628304821,-0.25341713,21,8.449438202,-1.41E-05,0.096016343,1.656084656,89,376
3,104_351,0.631746032,0.054885954,0.014107738,0.935699212,0.209302326,-0.570390071,1521,1.888888889,0,0.053968254,1.733333333,36,34
1,101_264,1.822222222,0.315329218,0.141533771,0.831420906,0.391304348,-0.406601378,15,5.6,0,0.622222222,1.571428571,10,28
