"temp","X","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges","repo","avg_no_of_bugs_owned_by_author","avg_resolution_time","total_no_of_bugs_owned_by_author"
"142_211",56,4.696969697,0,0.095454545,0.609715598,1,-0.05275238,44,44.33333333,0,4.03030303,1,12,266,"142",160.5,41.1728166666667,1926
"143_261",61,0.4,0,0.155555556,0.666666667,1,0,56,2.4,-0.333333333,0.6,1,5,6,"143",5,4.35334,25
"144_301",62,1.333333333,0.2,0.186397059,0.845491503,0.6,-0.287878788,292,3.333333333,0,0.666666667,1.333333333,6,10,"144",16.6666666666667,62.7821,100
"145_256",66,0.640434193,0.003050434,0.002691489,0.977820613,0.78,-0.220964556,15,1.731343284,0,0.026232474,1.333333333,67,58,"145",37.6119402985075,44.4361,2520
"148_84",74,2.095238095,0.126111111,0.20992674,0.676111119,0.846153846,0.014323865,80,11.42857143,0,1.904761905,1.2,7,40,"148",10.7142857142857,53.5185571428571,75
"149_185",75,0.3,0,0.0875,1,0,0,3818,0.8,-0.5,0.2,1,5,2,"149",35.6,40.37636,178
"152_143",79,0.380952381,0,0.083809524,0.8,1,0,82,1.714285714,-0.333333333,0.285714286,1,7,6,"152",11.8571428571429,9.95434285714286,83
"153_177",91,0.926406926,0.230763416,0.05255146,0.853421637,0.382978723,-0.352291504,67,4.545454545,0.1848,0.216450216,1.820512821,22,50,"153",18.1818181818182,7.96655454545455,400
"156_62",92,2.8,0.158857143,0.228409091,0.619183759,0.789473684,-0.090635543,6,18,0,3.6,1.2,6,54,"156",24.8333333333333,108.030733333333,149
"157_482",94,0.35042735,0.015384615,0.011175343,0.954399107,0.375,-0.752808989,69,0.888888889,-0.263888889,0.034188034,1.5,27,12,"157",50.4814814814815,16.0717037037037,1363
"158_231",96,0.210526316,0,5.08e-17,1.058823529,0,0,0,0.210526316,0,0.011695906,0,19,2,"158",29.3684210526316,41.7763684210526,558
"16_375",97,0.614379085,0,0.012637868,0.965030416,1,-0.333333333,49,1.555555556,0,0.091503268,1,18,14,"16",14.1111111111111,19.5476277777778,254
"161_275",99,1.290909091,0.045944148,0.028133063,0.722831874,0.71494121,-0.003827961,36,27.2,0.128187876,0.618181818,1.491400491,45,612,"161",17.6888888888889,19.9875266666667,796
"162_409",100,3.3,0.166666667,0.185470085,1.094816853,0,-0.331506849,21,4.8,0,1.2,1.333333333,5,12,"162",13.4,8.41212,67
"168_324",105,1.454545455,0.009586777,0.08143108,0.741726231,0.906976744,-0.109589041,59,8,0,0.727272727,1.095238095,12,48,"168",32.75,85.0788333333333,393
"17_363",107,2.333333333,0.119008264,0.136586218,0.624477462,0.826086957,-0.205932932,78,18.33333333,0,1.666666667,1.266666667,12,110,"17",11.3333333333333,3.19626666666667,136
"170_101",111,0.333333333,0,0,1.1,0,0,0,0.333333333,0,0.03030303,0,12,2,"170",27.6666666666667,12.6417666666667,332
"171_246",112,1.710144928,0.050297872,0.035300723,0.854873545,0.681081081,-0.099872597,16,10.66666667,0,0.463768116,1.418181818,24,128,"171",92,43.5433833333333,2208
"173_154",113,0.209150327,0.007352941,0.012693419,0.974111652,0,-1,32,0.444444444,-0.375,0.026143791,1.333333333,18,4,"173",4.33333333333333,3.60738333333333,78
"175_480",114,0.333333333,0,0.25,1,0,0,317,1.333333333,-0.5,0.666666667,1,3,2,"175",0,0,0
"178_1",116,0.266666667,0,0.06,1,0,0,319,0.666666667,-0.5,0.133333333,1,6,2,"178",20.8333333333333,6.34208333333333,125
"179_13",117,1.109090909,0.014074074,0.051030365,0.939819151,0.75,0.352226721,9,2.909090909,0,0.290909091,1.166666667,11,16,"179",6.81818181818182,6.9332,75
"18_100",118,2.381707317,0.070016478,0.025319889,0.85965502,0.787406484,-0.037866254,22,18.73170732,0,0.468292683,1.471861472,41,384,"18",62.2926829268293,82.249612195122,2554
"182_2",119,0.305555556,0.007142857,0.134803922,0.205639239,0.931034483,-0.322033898,134,11.55555556,-0.12647929,1.444444444,1.071428571,9,52,"182",13.8888888888889,13.5133777777778,125
"185_388",121,0.933333333,0,0.06,1.095491503,0,-0.333333333,4,1.333333333,0,0.266666667,1,6,4,"185",26,16.56095,156
"190_330",122,1.317245817,0.031348825,0.010107965,0.831841839,0.642931755,-0.184997421,15,29.78571429,0.081125028,0.268339768,1.663690476,112,1668,"190",87.1071428571429,38.6682392857143,9756
"2_120",134,2.845977011,0.123538759,0.034271056,0.893993591,0.559322034,-0.195236559,22,13.46666667,0,0.464367816,1.6,30,202,"2",15.5333333333333,12.9750333333333,466
"20_171",135,1.779591837,0.077127303,0.027096049,0.744876243,0.712477396,-0.148339251,29,28.8,0.043101852,0.587755102,1.556149733,50,720,"20",62.76,2.593796,3138
"207_378",138,0.652421652,0.009230769,0.008162498,1.008348486,0,0.066666667,13,1.037037037,0.244897959,0.03988604,1.428571429,27,14,"207",11.8148148148148,18.6770481481481,319
"210_444",139,0.333333333,0,0.138888889,1,0,0,319,1,-0.5,0.333333333,1,4,2,"210",30,9.51005,120
"22_322",140,1.187153931,0.00356739,0.007639125,0.925945949,0.828571429,-0.052149239,8,6.139534884,0,0.146179402,1.214285714,43,132,"22",9.55813953488372,40.3911,411
"23_151",141,1.686113018,0.036495464,0.006133407,0.94247146,0.688356164,-0.214504601,3011,9.191489362,0.04634988,0.098833219,1.645502646,94,432,"23",101.287234042553,11.9629021276596,9521
"24_237",144,0.141025641,0,0.012286325,1,0,0,3,0.307692308,-0.5,0.025641026,1,13,2,"24",44,11.5391076923077,572
"25_286",148,1.5,0.055176768,0.072937403,0.769695981,0.734693878,-0.20691358,5,8,0.085798817,0.666666667,1.333333333,13,52,"25",10.3846153846154,37.9926769230769,135
"28_98",151,0.444444444,0,-5.95e-17,1.142857143,0,0,0,0.444444444,0,0.055555556,0,9,2,"28",38.1111111111111,14.4924333333333,343
"29_273",155,0.531092437,0.012311698,0.018082456,0.787703951,0.905109489,-0.229602888,14,5.942857143,0,0.174789916,1.242424242,35,104,"29",10.9714285714286,29.6236914285714,384
"34_103",161,0.849002849,0.006153846,0.008375607,0.995701114,0.6,0.495918367,94,1.925925926,0,0.074074074,1.333333333,27,26,"34",37,33.5847962962963,999
"35_166",162,0.691699605,0.058100485,0.027078113,0.906784111,0.416666667,-0.255639098,106,2.782608696,0.0546875,0.126482213,1.571428571,23,32,"35",16.7826086956522,19.9540260869565,386
"39_327",165,0.656462585,0.018847887,0.010076039,0.905589412,0.807692308,-0.116987279,740,4.489795918,0,0.093537415,1.423076923,49,110,"39",19.1224489795918,22.2106326530612,937
"40_285",168,1.637804878,0.166918545,0.035576298,0.779644799,0.596456693,-0.138543391,376,20.48780488,0.009342404,0.512195122,1.623152709,41,420,"40",38.4634146341463,103.17807804878,1577
"41_159",171,1.252747253,0,0.010566357,1.031830501,0,-0.333333333,16,1.714285714,0,0.131868132,1,14,12,"41",2.85714285714286,6.17647142857143,40
"42_398",173,1.409356725,0.017308158,0.02814277,0.907948255,0.846153846,-0.268080479,145,4.631578947,0,0.257309942,1.2,19,44,"42",65.3157894736842,43.5214263157895,1241
"43_129",174,1.358974359,0.011868687,0.036476815,0.926532458,0.75,-0.409865471,32,3.692307692,0,0.307692308,1.166666667,13,24,"43",15.9230769230769,90.6319615384615,207
"44_331",175,0.8,0,0,1.333333333,0,0,0,0.8,0,0.2,0,5,2,"44",55.2,0.11456,276
"45_380",180,2.292262112,0.002785086,0.002602382,0.93465094,0.806947433,-0.046009721,7,27.86842105,0,0.18455908,1.348387097,152,2118,"45",145.697368421053,144.240465789474,22146
"46_180",181,1,0.036363636,0.043268527,0.915463455,0.6,-0.352601156,39,3,0,0.272727273,1.333333333,12,18,"46",4.25,8.47388333333333,51
"47_377",184,1.741754386,0.022700408,0.006609757,0.958550122,0.597640891,-0.033675197,7,7.368421053,0.120382653,0.098245614,1.578947368,76,280,"47",54.4210526315789,27.3973539473684,4136
"48_364",187,0.266666667,0,0.06,1,0,0,720,0.666666667,-0.5,0.133333333,1,6,2,"48",54.6666666666667,26.8196666666667,328
"51_403",188,1.251336898,0.007185491,0.007016691,0.985881862,0.545454545,-0.14079685,8,2.705882353,0,0.081996435,1.4,34,46,"51",42.7352941176471,144.271491176471,1453
"54_186",189,0.169354839,0,0.005937152,0.933333333,1,0,7,0.75,-0.25,0.024193548,1,32,12,"54",16.5625,21.18895,530
"56_294",194,1.032967033,0.00591716,0.041453457,0.834765238,0.875,-0.114521842,137,4.571428571,0,0.351648352,1.1,14,32,"56",271.785714285714,48.3652071428571,3805
"57_366",195,0.132275132,0,0.005185342,0.961538462,1,0,21,0.428571429,-0.333333333,0.015873016,1,28,6,"57",13.1428571428571,12.6012464285714,368
"58_128",197,0.41025641,0,0.085780886,0.363636364,1,0,56,11.07692308,-0.111111111,0.923076923,1,13,72,"58",5.84615384615385,1.38846153846154,76
"61_153",212,1.572463768,0.013615496,0.038435998,0.803225418,0.772357724,-0.051614242,17,11.83333333,0,0.514492754,1.272727273,24,142,"61",1.66666666666667,4.5568375,40
"62_245",213,2.974358974,0.051409933,0.082060512,0.807631262,0.915254237,-0.110406644,7,12.30769231,0,1.025641026,1.178571429,13,80,"62",34.3076923076923,16.2100076923077,446
"63_184",216,0.901960784,0.001401113,0.003877753,0.97397731,0.789473684,-0.035878598,12,2.901960784,0,0.058039216,1.2,51,74,"63",13.3529411764706,45.4503117647059,681
"64_80",232,0.632034632,0.019047619,0.021008866,0.907460947,0.882352941,0.725609756,57,2.727272727,0,0.12987013,1.266666667,22,30,"64",24.2727272727273,8.34166363636364,534
"68_360",233,0.4,0,0.1125,0.75,1,0,156,2,-0.333333333,0.4,1,6,6,"68",1.66666666666667,0,10
"71_247",235,3.25,0.004619007,0.05614807,0.635477045,0.977760127,-0.032318354,43,48,0,2,1.028571429,25,600,"71",55.44,47.254016,1386
"73_283",237,0.194444444,0,0.026041667,1,0,0,807,0.444444444,-0.5,0.055555556,1,9,2,"73",22.1111111111111,2.39343333333333,199
"74_66",238,1.666666667,0,0.208333333,0.720243331,1,-0.333333333,139,7,0,2.333333333,1,4,14,"74",52,5.207075,208
"75_280",241,0.476190476,0.014814815,0.152548037,0.470849738,0.875,-0.5,33,5.142857143,-0.203703704,0.857142857,1.1,7,18,"75",73.5714285714286,14.4528,515
"77_204",243,0.346153846,0,0.036188811,0.818181818,1,0,105,1.846153846,-0.25,0.153846154,1,13,12,"77",5.53846153846154,4.10714615384615,72
"78_420",248,1.472432432,0.033517419,0.012172541,0.862446568,0.662465753,-0.113765476,10,19.04,0.036442028,0.257297297,1.531092437,75,714,"78",1.4,10.156016,105
"79_41",252,1.904411765,0.054899805,0.063727126,0.771517204,0.713414634,-0.276767149,6,11.52941176,0,0.720588235,1.355555556,17,98,"79",47.7058823529412,4.48254705882353,811
"81_290",253,0.527472527,0.006015779,0.070163688,0.555444706,0.895522388,-0.33248731,36,7.142857143,-0.1272,0.549450549,1.107142857,14,50,"81",7.35714285714286,6.34852857142857,103
"83_164",254,3,0.013588065,0.093111285,0.610290907,0.911111111,-0.155752212,14,27,0,2.454545455,1.107142857,12,162,"83",7.83333333333333,64.1627583333333,94
"84_424",257,2.58908007,0.010860906,0.004311804,0.93626489,0.705348705,-0.018406195,9,24.72131148,0.102666416,0.204308359,1.488636364,122,1508,"84",51.4098360655738,24.1870508196721,6272
"85_91",258,1.4,0,0.0875,1.073074531,0,-0.5,33,2.4,0,0.6,1,5,6,"85",31.4,0.2742,157
"86_17",259,4.285714286,0.046258503,0.156051587,0.702548428,0.906976744,-0.027633109,24,22,0,3.142857143,1.095238095,8,88,"86",20.125,34.9665125,161
"87_48",260,1.136842105,0.130501693,0.051597419,0.859677884,0.482758621,0.045960635,20,6.4,0,0.336842105,1.672727273,20,64,"87",9.1,9.76599,182
"88_271",261,1.333333333,0,0,2,0,0,0,1.333333333,0,0.666666667,0,3,2,"88",3.33333333333333,16.2222333333333,10
"89_303",262,0.5,0.0625,0.239814815,0.479482396,0.75,-0.666666667,2123,4,-0.26,1,1.166666667,5,10,"89",10.8,0.01538,54
"93_173",263,0.943333333,0.040257649,0.035676471,0.798291459,0.786206897,-0.210187517,67,7.36,0,0.306666667,1.378787879,25,92,"93",0,0,0
"94_384",264,2,0.333333333,0.327380952,0.962613646,0,-0.581395349,206,4,0,1.333333333,1.333333333,4,8,"94",16,14.911425,64
"96_72",267,1.566967742,0.042424127,0.006029016,0.909289694,0.5875,-0.180872504,31,17.696,0.079135997,0.142709677,1.760638298,125,1106,"96",74.112,51.043128,9264
"99_229",269,4.19047619,0,0.13968254,0.767872319,1,-0.150887447,154,14.85714286,0,2.476190476,1,7,52,"99",19.7142857142857,49.3854857142857,138
