"upeople_id","X1mslChanges","number_of_domain","country","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,24,7,9,2,2,2,4,0,0.166666666666667,0.0853658536585366,0.730039227088805
1082,5,3,10,1,1,1,2,0,0,0.0813953488372093,0.406933636241587
1820,33,3,7,6,1,1,2,0,0,0.0828402366863905,0.30520022718119
1822,157,1,7,5,5,5,10,10,0.0222222222222222,0.0875,1
194325,0,1,0,13,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
378243,0,13,0,14,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
380890,12,2,0,4,2,2,4,6,0.166666666666667,0.0869565217391304,0.176002788379958
381291,0,1,0,7,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
381314,0,2,0,8,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
381317,0,1,0,9,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
381318,0,1,0,10,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
381323,0,2,0,11,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
381326,0,1,0,12,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
432589,0,1,0,3,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
445788,0,1,0,15,0,0,0,0,NA,0.0666666666666667,2.81038804366719e-17
