"upeople_id","X373scmChanges","X1mslChanges","number_of_domain","country","X373linesadded","X373linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
160,0,1,2,7,0,0,11,0,0,0,0,NA,0.0714285714285714,0
161,0,4,1,8,0,0,9,0,0,0,0,NA,0.0714285714285714,0
165,0,18,4,10,0,0,6,0,0,0,0,NA,0.0714285714285714,0
167,0,16,1,7,0,0,8,0,0,0,0,NA,0.0714285714285714,0
393,0,11,3,10,0,0,5,0,0,0,0,NA,0.0714285714285714,0
824,9,141,2,10,1511,57,14,1,1,2,0,0,0.0760233918128655,1
2202,0,0,1,6,0,0,7,0,0,0,0,NA,0.0714285714285714,0
378243,0,0,13,0,0,0,12,0,0,0,0,NA,0.0714285714285714,0
378323,0,4,2,0,0,0,1,0,0,0,0,NA,0.0714285714285714,0
381698,0,0,1,0,0,0,2,0,0,0,0,NA,0.0714285714285714,0
381933,0,34,2,0,0,0,3,1,1,2,0,0,0.0760233918128655,1
381935,0,0,1,0,0,0,4,0,0,0,0,NA,0.0714285714285714,0
382556,0,0,3,0,0,0,10,0,0,0,0,NA,0.0714285714285714,0
447831,0,0,0,0,0,0,13,0,0,0,0,NA,0.0714285714285714,0
