"upeople_id","X33scmChanges","X45scmChanges","X56scmChanges","X86scmChanges","X107scmChanges","X116scmChanges","X184scmChanges","X193scmChanges","X203scmChanges","X228scmChanges","X230scmChanges","X241scmChanges","X299scmChanges","X313scmChanges","X348scmChanges","X385scmChanges","X390scmChanges","X391scmChanges","X419scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X33linesadded","X33linesremoved","X45linesadded","X45linesremoved","X56linesadded","X56linesremoved","X86linesadded","X86linesremoved","X107linesadded","X107linesremoved","X116linesadded","X116linesremoved","X184linesadded","X184linesremoved","X193linesadded","X193linesremoved","X203linesadded","X203linesremoved","X228linesadded","X228linesremoved","X230linesadded","X230linesremoved","X241linesadded","X241linesremoved","X299linesadded","X299linesremoved","X313linesadded","X313linesremoved","X348linesadded","X348linesremoved","X385linesadded","X385linesremoved","X390linesadded","X390linesremoved","X391linesadded","X391linesremoved","X419linesadded","X419linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
384640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
384653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
384662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
384676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
384682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
384687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
385155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
386289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
388709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
389608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.0196078431372549,2.17027068204136e-18
