"upeople_id","X424scmChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X424linesadded","X424linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
385573,0,167,138,1,0,0,0,51,3,3,6,0,0.133333333333333,0.0106589147286822,0.338051473679867
385575,0,44,0,1,0,0,0,52,0,0,0,0,NA,0.00819672131147541,0
385576,0,2,0,1,0,0,0,53,0,0,0,0,NA,0.00819672131147541,0
385592,0,37,0,2,0,0,0,55,1,1,2,0,0,0.0106767846113121,0.0325956376741243
385602,0,176,0,1,0,0,0,56,2,2,4,0,0,0.0105750742877119,0.0586777981178979
385603,0,0,0,1,0,0,0,57,0,0,0,0,NA,0.00819672131147541,0
385605,0,0,0,1,0,0,0,58,0,0,0,0,NA,0.00819672131147541,0
385609,0,0,0,1,0,0,0,59,0,0,0,0,NA,0.00819672131147541,0
385610,0,47,0,1,0,0,0,60,0,0,0,0,NA,0.00819672131147541,0
385611,0,267,0,1,0,0,0,61,2,2,4,56,0,0.0106542220656864,0.0652659876697275
385612,0,323,0,1,0,0,0,62,2,2,4,17,0.166666666666667,0.0106918794733587,0.0131474735462221
385613,0,12,0,1,0,0,0,63,0,0,0,0,NA,0.00819672131147541,0
385618,0,3,0,2,0,0,0,65,0,0,0,0,NA,0.00819672131147541,0
385634,0,11,0,1,0,0,0,66,0,0,0,0,NA,0.00819672131147541,0
386297,0,0,0,1,0,0,0,69,0,0,0,0,NA,0.00819672131147541,0
389608,0,0,0,1,0,0,0,71,0,0,0,0,NA,0.00819672131147541,0
389641,0,0,0,1,0,0,0,73,0,0,0,0,NA,0.00819672131147541,0
389673,0,0,0,1,0,0,0,74,0,0,0,0,NA,0.00819672131147541,0
389684,0,0,0,1,0,0,0,75,0,0,0,0,NA,0.00819672131147541,0
395667,0,0,0,1,0,0,0,79,0,0,0,0,NA,0.00819672131147541,0
396989,0,181,0,1,0,0,0,80,4,4,8,141.333333333333,0.0714285714285714,0.0107051225338406,0.0278344352378314
397038,0,1,0,1,0,0,0,82,0,0,0,0,NA,0.00819672131147541,0
397039,0,100,0,1,0,0,0,83,1,1,2,0,0,0.0106598537573782,0.0200995657446871
398967,0,0,0,1,0,0,0,84,0,0,0,0,NA,0.00819672131147541,0
407816,0,18,0,1,0,0,0,88,0,0,0,0,NA,0.00819672131147541,0
407818,0,138,0,1,0,0,0,89,1,1,2,0,0,0.0106532840288783,0.0218828780612426
407886,0,91,0,1,0,0,0,90,3,3,6,109.333333333333,0.2,0.0107013354559123,0.0538982956679645
407887,0,64,0,2,0,0,0,91,0,0,0,0,NA,0.00819672131147541,0
407975,0,9,0,1,0,0,0,94,0,0,0,0,NA,0.00819672131147541,0
407988,0,0,0,1,0,0,0,95,0,0,0,0,NA,0.00819672131147541,0
408106,0,0,0,1,0,0,0,96,0,0,0,0,NA,0.00819672131147541,0
408303,0,0,0,1,0,0,0,98,0,0,0,0,NA,0.00819672131147541,0
408331,0,0,0,1,0,0,0,99,0,0,0,0,NA,0.00819672131147541,0
408394,0,0,0,1,0,0,0,102,0,0,0,0,NA,0.00819672131147541,0
408405,0,0,0,2,0,0,0,103,0,0,0,0,NA,0.00819672131147541,0
408452,0,0,0,1,0,0,0,105,0,0,0,0,NA,0.00819672131147541,0
409735,0,0,0,1,0,0,0,111,0,0,0,0,NA,0.00819672131147541,0
432367,0,3,0,2,0,0,0,119,0,0,0,0,NA,0.00819672131147541,0
433228,0,0,0,1,0,0,0,115,0,0,0,0,NA,0.00819672131147541,0
433365,0,0,0,1,0,0,0,117,0,0,0,0,NA,0.00819672131147541,0
433366,0,0,0,1,0,0,0,118,0,0,0,0,NA,0.00819672131147541,0
433601,0,0,0,1,0,0,0,120,0,0,0,0,NA,0.00819672131147541,0
433604,0,0,0,1,0,0,0,121,0,0,0,0,NA,0.00819672131147541,0
433644,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.00819672131147541,0
443878,130,0,0,2,0,7053,3887,122,0,0,0,0,NA,0.00819672131147541,0
447368,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.00819672131147541,0
447446,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.00819672131147541,0
447483,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.00819672131147541,0
447484,0,0,0,0,0,0,0,47,0,0,0,0,NA,0.00819672131147541,0
447486,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.00819672131147541,0
447496,0,0,0,0,0,0,0,67,0,0,0,0,NA,0.00819672131147541,0
447615,0,0,0,0,0,0,0,70,0,0,0,0,NA,0.00819672131147541,0
447928,0,0,0,0,0,0,0,72,0,0,0,0,NA,0.00819672131147541,0
448097,0,0,0,0,0,0,0,76,0,0,0,0,NA,0.00819672131147541,0
448565,0,0,0,0,0,0,0,116,0,0,0,0,NA,0.00819672131147541,0
448581,0,0,0,0,0,0,0,81,0,0,0,0,NA,0.00819672131147541,0
449790,0,0,0,0,0,0,0,86,0,0,0,0,NA,0.00819672131147541,0
449799,0,0,0,0,0,0,0,87,0,0,0,0,NA,0.00819672131147541,0
449896,0,0,0,0,0,0,0,100,0,0,0,0,NA,0.00819672131147541,0
449909,0,0,0,0,0,0,0,101,0,0,0,0,NA,0.00819672131147541,0
449919,0,0,0,0,0,0,0,104,0,0,0,0,NA,0.00819672131147541,0
450062,0,0,0,0,0,0,0,106,0,0,0,0,NA,0.00819672131147541,0
450113,0,0,0,0,0,0,0,108,0,0,0,0,NA,0.00819672131147541,0
