"upeople_id","X40scmChanges","X196scmChanges","X1mslChanges","number_of_domain","country","X40linesadded","X40linesremoved","X196linesadded","X196linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
199,0,0,0,3,6,0,0,0,0,2,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
273,109,555,1224,7,9,3162,5052,29638,45602,4,5,5,10,0,0.0888888888888889,0.0197841726618705,0.35835001825151
348,0,0,44,5,7,0,0,0,0,9,5,5,10,48.5666666666667,0.0888888888888889,0.0198496240601504,0.140421312304108
369,0,0,0,3,7,0,0,0,0,25,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
371,0,0,498,3,10,0,0,0,0,5,12,12,24,55.6,0.0543478260869565,0.0198257735055572,1
458,10,76,14,2,8,3252,277,4666,1982,40,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
462,12,97,278,1,9,314,194,22927,3925,30,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
465,1,0,55,4,6,1,1,0,0,43,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
466,1,2,0,4,6,454,7,13,4,62,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
611,0,0,203,2,6,0,0,0,0,1,3,3,6,5,0.133333333333333,0.0197723187537448,0.107128929144215
1082,0,5,440,3,10,0,0,66,418,3,7,7,14,10.7333333333333,0.0549450549450549,0.0197841726618705,0.503271316631211
1632,0,7,0,1,7,0,0,409,57,41,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
1633,0,0,2,1,9,0,0,0,0,67,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
1634,0,5,0,3,8,0,0,312,27,55,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
1635,0,2,54,6,7,0,0,21,5,6,3,3,6,7.33333333333333,0.0666666666666667,0.0197663971248877,0.171652559415465
1831,0,0,5,1,10,0,0,0,0,45,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
2034,0,1,2,1,9,0,0,1,1,42,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
2315,0,0,0,1,6,0,0,0,0,52,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
309802,0,1,0,3,0,0,0,6,6,57,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
379681,0,0,0,1,0,0,0,0,0,44,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
379793,0,0,2,1,0,0,0,0,0,7,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
379900,0,0,0,1,0,0,0,0,0,8,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380062,0,0,30,1,0,0,0,0,0,10,1,1,2,0,0,0.0196604110813226,0.01199298952759
380730,0,0,0,1,0,0,0,0,0,11,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380733,0,0,0,2,0,0,0,0,0,12,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380743,0,0,0,1,0,0,0,0,0,13,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380749,0,0,5,2,0,0,0,0,0,14,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380751,0,0,4,1,0,0,0,0,0,16,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380752,0,0,247,1,0,0,0,0,0,17,1,1,2,0,0,0.0193605162804341,0.213517971930374
380759,0,0,22,2,0,0,0,0,0,18,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380760,0,0,4,3,0,0,0,0,0,19,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380761,0,0,4,1,0,0,0,0,0,20,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380768,0,0,301,1,0,0,0,0,0,21,3,3,6,0,0.0666666666666667,0.0197782439316752,0.422876597271071
380771,0,0,164,2,0,0,0,0,0,22,6,6,12,40.9666666666667,0.136363636363636,0.0198675496688742,0.175891563846015
380797,0,0,591,2,0,0,0,0,0,24,11,11,22,116.2,0.0562770562770563,0.0198855076830371,0.563721208311834
380805,0,0,231,2,0,0,0,0,0,26,6,6,12,4,0.0909090909090909,0.0197663971248877,0.312760640784343
380826,0,0,83,2,0,0,0,0,0,28,4,4,8,21.4,0.178571428571429,0.0198376916140667,0.266593589926928
380827,0,0,28,1,0,0,0,0,0,29,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380890,0,0,41,2,0,0,0,0,0,31,7,7,14,18.5,0.0549450549450549,0.0197901049475262,0.37467799556352
380921,0,0,104,2,0,0,0,0,0,32,5,5,10,28.1666666666667,0.0888888888888889,0.0198436560432953,0.0677021572251042
380926,0,0,0,1,0,0,0,0,0,33,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
380983,0,0,67,1,0,0,0,0,0,36,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
381004,0,0,0,1,0,0,0,0,0,37,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
381180,0,0,87,1,0,0,0,0,0,38,6,6,12,46.8,0.106060606060606,0.01985559566787,0.153243622571224
381280,0,0,3,1,0,0,0,0,0,39,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
381449,0,0,0,2,0,0,0,0,0,51,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
383677,0,0,5,2,0,0,0,0,0,47,1,1,2,0,0,0.0197901049475262,0.0240729218265765
383808,0,0,4,2,0,0,0,0,0,49,1,1,2,0,0,0.0196956132497762,0.048145843653153
383961,0,0,0,1,0,0,0,0,0,50,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
386573,0,0,0,1,0,0,0,0,0,53,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
388687,0,0,0,2,0,0,0,0,0,56,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
391599,0,0,0,1,0,0,0,0,0,58,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
395260,0,0,1,1,0,0,0,0,0,59,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
395360,0,0,2,1,0,0,0,0,0,60,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
395362,0,0,0,1,0,0,0,0,0,61,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
399789,0,0,0,1,0,0,0,0,0,63,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
399827,0,0,0,1,0,0,0,0,0,64,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
399834,0,0,0,1,0,0,0,0,0,65,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
399867,0,0,0,1,0,0,0,0,0,66,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
432947,0,0,0,1,0,0,0,0,0,48,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
433088,0,0,0,1,0,0,0,0,0,34,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
446954,0,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
446956,0,0,0,0,0,0,0,0,0,23,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
446957,0,0,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
446963,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
447272,0,0,0,0,0,0,0,0,0,46,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
447680,0,0,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.0149253731343284,3.46138255876799e-17
