"upeople_id","X213scmChanges","X247scmChanges","X374scmChanges","X197scrChanges","X209scrChanges","X294scrChanges","X2mslChanges","number_of_domain","country","X213linesadded","X213linesremoved","X247linesadded","X247linesremoved","X374linesadded","X374linesremoved","X197ReviewGotMerged","X209ReviewGotMerged","X294ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
197,0,19,0,0,0,44,0,3,7,0,0,471,313,0,0,0,0,38,7,0,0,0,0,NA,0.04,0
276,0,0,0,0,0,5,3,5,8,0,0,0,0,0,0,0,0,2,23,0,0,0,0,NA,0.04,0
415,0,87,2,0,8,227,65,3,6,0,0,6723,1376,726,15,0,2,181,1,3,3,6,0,0.2,0.0892193308550186,0.407875774309231
444,1,243,0,6,0,1111,88,3,9,35,3,10575,4546,0,0,1,0,922,24,8,8,16,14.3,0.125,0.0941176470588235,0.434801671642239
526,0,7,5,0,24,64,69,6,9,0,0,347,127,1879,0,0,19,38,3,6,6,12,44.3,0.181818181818182,0.0948616600790514,0.185425925119477
550,0,25,0,0,0,196,0,5,6,0,0,3244,1406,0,0,0,0,99,12,0,0,0,0,NA,0.04,0
818,399,333,0,965,0,895,0,3,6,59467,18652,21734,5751,0,0,929,0,781,2,0,0,0,0,NA,0.04,0
832,0,493,0,2,0,1742,105,1,8,0,0,31308,20251,0,0,2,0,1513,8,8,9,17,54.7666666666667,0.110294117647059,0.09375,0.601592702629071
838,0,267,0,3,0,1254,338,1,9,0,0,13798,7982,0,0,3,0,1015,11,12,13,25,4,0.0866666666666667,0.0919540229885057,1
869,0,18,0,0,0,189,115,5,8,0,0,2122,486,0,0,0,0,149,21,6,4,10,0.4,0.155555555555556,0.0866425992779783,0.698097620818773
1527,37,0,0,96,0,0,6,2,6,2785,563,0,0,0,0,60,0,0,5,1,1,2,0,0,0.0875912408759124,0.0149268029456485
1554,0,6,0,0,0,59,57,2,8,0,0,287,91,0,0,0,0,33,4,6,6,12,20.3,0.136363636363636,0.0941176470588235,0.222480123530637
2241,0,253,0,0,0,635,74,6,10,0,0,16441,7026,0,0,0,0,565,13,8,8,16,72.3666666666667,0.125,0.094488188976378,0.393913693384381
2242,0,432,0,0,0,1131,45,1,7,0,0,69540,27563,0,0,0,0,992,14,6,6,12,23.6666666666667,0.136363636363636,0.09375,0.225290041353114
2244,0,273,0,1,0,1596,120,2,6,0,0,31246,13376,0,0,0,0,1431,16,6,6,12,29,0.121212121212121,0.0923076923076923,0.307189935850628
2249,0,30,0,6,0,131,94,2,7,0,0,667,634,0,0,6,0,122,6,9,9,18,6.5,0.0849673202614379,0.0933852140077821,0.64372028906628
2253,0,1,0,0,0,3,14,4,9,0,0,104,104,0,0,0,0,3,15,2,2,4,2,0,0.0866425992779783,0.0349341371694918
2256,0,36,0,0,0,73,13,1,7,0,0,2067,565,0,0,0,0,65,18,2,2,4,25.6,0,0.0905660377358491,0.0208383358739303
2259,0,5,0,0,0,36,0,2,7,0,0,884,152,0,0,0,0,23,19,0,0,0,0,NA,0.04,0
2262,0,1,0,0,0,2,0,2,9,0,0,189,0,0,0,0,0,2,20,0,0,0,0,NA,0.04,0
2263,0,13,0,0,0,58,24,2,8,0,0,1676,99,0,0,0,0,37,17,3,3,6,3,0.2,0.0919540229885057,0.0703492446846205
2269,0,10,0,0,0,28,0,1,7,0,0,1390,259,0,0,0,0,27,22,0,0,0,0,NA,0.04,0
2270,0,10,0,0,0,80,5,4,9,0,0,3458,304,0,0,0,0,79,25,1,1,2,0,0,0.0845070422535211,0.0584645177311454
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.04,0
432589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,NA,0.04,0
