"upeople_id","X97scmChanges","X187scmChanges","X254scmChanges","X280scmChanges","X314scmChanges","X71scrChanges","X91scrChanges","X132scrChanges","X321scrChanges","X381scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X97linesadded","X97linesremoved","X187linesadded","X187linesremoved","X254linesadded","X254linesremoved","X280linesadded","X280linesremoved","X314linesadded","X314linesremoved","X71ReviewGotMerged","X91ReviewGotMerged","X132ReviewGotMerged","X321ReviewGotMerged","X381ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
198,0,0,1,159,35,0,0,0,35,211,333,784,5,7,0,0,0,0,3946,0,23019,12570,5355,886,0,0,0,28,185,2,1,1,2,0,0,0.122448979591837,0.778191759059788
438,0,18,17,257,71,87,18,0,186,862,169,457,9,8,0,0,12746,5392,203,166,23443,12393,4566,977,76,18,0,184,792,3,2,2,4,0,0.166666666666667,0.166666666666667,0.454867881851763
670,0,0,0,3,0,0,0,0,0,10,23,35,13,8,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,7,2,2,4,0,0.166666666666667,0.157894736842105,0.545816558639315
1307,4,10,0,402,41,29,1,10,114,1058,221,372,4,6,13475,635,494,623,0,0,117604,92724,3952,1246,28,0,10,110,943,1,3,3,6,4,0.0666666666666667,0.171428571428571,1
2042,0,0,0,0,1,0,0,0,5,2,0,8,1,10,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,6,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
2245,0,0,0,2,0,0,0,0,0,3,0,11,3,8,0,0,0,0,0,0,313,104,0,0,0,0,0,0,3,4,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
378243,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,0.142857142857143,4.38117775057705e-17
