"upeople_id","X276scmChanges","X204scrChanges","X2mslChanges","number_of_domain","country","X276linesadded","X276linesremoved","X204ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
415,73,291,80,3,6,7798,429,220,1,5,5,10,30,0.111111111111111,0.0995850622406639,0.0955926657810628
818,91,466,5,3,6,9788,949,285,2,0,0,0,0,NA,0.04,5.11736805567554e-18
832,131,461,48,1,8,6291,1546,408,4,1,1,2,0,0,0.058679706601467,0.0788056735825655
838,459,2549,258,1,9,33382,13153,2015,5,11,11,22,121,0.0476190476190476,0.103004291845494,0.61920481605676
2151,13,17,25,3,8,1042,52,3,6,3,3,6,0,0.2,0.0963855421686747,0.0825438818940211
2234,1013,4452,838,3,10,187682,127957,4061,25,16,16,32,117,0.030241935483871,0.0987654320987654,1
2241,23,61,26,6,10,2799,1281,45,9,3,3,6,0,0.2,0.0991735537190083,0.0939969855960124
2242,44,140,24,1,7,6477,799,123,10,2,2,4,5,0.166666666666667,0.0902255639097744,0.0487206608856077
2244,8,50,35,2,6,727,41,45,12,4,4,8,51,0.107142857142857,0.0923076923076923,0.210975319340694
2249,228,1329,163,2,7,20615,3943,1141,3,10,10,20,128,0.0578947368421053,0.101694915254237,0.50504841126671
2253,27,118,27,4,9,7268,1261,88,11,2,2,4,0,0.166666666666667,0.0952380952380952,0.0752629102892506
2256,15,51,9,1,7,3064,247,42,14,1,1,2,0,0,0.0743034055727554,0.0578496158144615
2263,7,16,2,2,8,665,23,16,13,0,0,0,0,NA,0.04,5.11736805567554e-18
2497,29,101,94,2,6,2310,563,70,16,4,4,8,0,0.107142857142857,0.0963855421686747,0.644737736794519
2512,1,0,0,1,10,109,1,0,17,0,0,0,0,NA,0.04,5.11736805567554e-18
2513,1,0,3,1,6,200,0,0,18,1,1,2,0,0,0.0926640926640927,0.0115699231628923
2514,3,16,5,2,9,279,6,5,19,1,1,2,0,0,0.0824742268041237,0.0347097694886769
2516,1,16,17,2,9,577,37,16,20,2,2,4,0,0.166666666666667,0.0869565217391304,0.175989815677423
2523,2,12,8,1,6,124,5,4,21,3,3,6,65,0.2,0.100840336134454,0.0209460749028078
2530,43,292,13,1,6,4202,1072,282,22,1,1,2,0,0,0.0824742268041237,0.0347097694886769
2600,0,3,0,5,7,0,0,1,15,0,0,0,0,NA,0.04,5.11736805567554e-18
3240,4,1,5,4,9,314,18,1,24,1,1,2,0,0,0.08,0.0233734852475867
378243,0,0,0,13,0,0,0,0,8,0,0,0,0,NA,0.04,5.11736805567554e-18
388294,0,26,0,2,0,0,0,26,23,0,0,0,0,NA,0.04,5.11736805567554e-18
447393,0,17,0,0,0,0,0,16,7,0,0,0,0,NA,0.04,5.11736805567554e-18
