"upeople_id","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
430,0,2,0,0,18,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,49273,1096,0,0,0,0,28,0,0,0,0,NA,0.0131578947368421,0
443,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,NA,0.0131578947368421,0
526,0,0,0,5,0,0,1,0,1,18,42,6,9,0,0,0,0,0,0,713,75,0,0,0,0,0,1,6,0,0,0,0,NA,0.0131578947368421,0
527,0,0,50,0,0,0,0,0,0,7,0,4,10,0,0,0,0,17163,1886,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0.0131578947368421,0
587,0,1,10,0,6,3,0,1,25,3,0,5,8,0,0,0,2,189,292,0,0,215,1266,3,0,1,16,9,0,0,0,0,NA,0.0131578947368421,0
589,66,13,22,646,3187,10,72,5,84,120,1251,4,7,22708,568,544,5256,768,355,78134,61073,491412,404997,9,50,5,69,73,0,0,0,0,NA,0.0131578947368421,0
670,169,1,1557,28,207,108,0,0,3,1061,581,13,8,1785458,1470684,3441,0,1517575,825811,4356,3939,38008,19911,97,0,0,3,7,3,3,6,18,0,0.0142099280030315,0.950452409367121
693,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,NA,0.0131578947368421,0
721,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,NA,0.0131578947368421,0
765,9,0,0,190,0,0,0,0,0,0,58,2,10,1053,305,0,0,0,0,45742,26363,0,0,0,0,0,0,30,0,0,0,0,NA,0.0131578947368421,0
808,0,0,33,0,0,0,0,0,0,37,0,2,8,0,0,0,0,5475,1341,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0.0131578947368421,0
829,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0131578947368421,0
1120,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,NA,0.0131578947368421,0
1307,26,0,50,0,1,27,0,0,0,26,0,4,6,30453,32747,0,0,4831,5123,0,0,2,2,26,0,0,0,5,1,1,2,0,0,0.0141964792731403,0.14367876765379
1401,18,0,0,75,0,0,0,0,0,8,167,4,6,7574,821,0,0,0,0,12328,6282,0,0,0,0,0,0,27,0,0,0,0,NA,0.0131578947368421,0
1404,10,0,6,0,0,0,0,0,0,13,0,4,7,5370,1844,0,0,107,52,0,0,0,0,0,0,0,0,52,0,0,0,0,NA,0.0131578947368421,0
1407,130,0,71,0,0,0,0,0,0,40,3,1,7,2691,794,0,0,89469,930,0,0,0,0,0,0,0,0,47,1,1,2,0,0,0.0141964792731403,0.14367876765379
1449,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0131578947368421,0
1460,0,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,NA,0.0131578947368421,0
1569,0,0,0,11,112,0,0,0,16,0,0,1,6,0,0,0,0,0,0,1952,1569,21425,30470,0,0,0,15,34,0,0,0,0,NA,0.0131578947368421,0
2076,0,1,0,0,6,0,0,1,17,0,0,1,6,0,0,0,0,0,0,0,0,452,28,0,0,1,16,71,0,0,0,0,NA,0.0131578947368421,0
2126,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,NA,0.0131578947368421,0
2245,0,0,2,0,0,8,0,0,0,0,0,3,8,0,0,0,0,140,42,0,0,0,0,8,0,0,0,51,0,0,0,0,NA,0.0131578947368421,0
2282,0,0,0,0,0,0,0,0,0,18,43,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0.0141696580389193,0.172613073638686
2542,0,0,0,104,69,0,2,0,0,0,9,4,9,0,0,0,0,0,0,9248,6313,4786,1374,0,2,0,0,75,0,0,0,0,NA,0.0131578947368421,0
2972,0,0,30,0,0,0,0,0,0,1,28,2,8,0,0,0,0,12471,7559,0,0,0,0,0,0,0,0,59,0,0,0,0,NA,0.0131578947368421,0
2977,0,0,1,0,0,0,0,0,0,66,8,2,6,0,0,0,0,393,46,0,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.0131578947368421,0
2978,0,0,4,0,0,0,0,0,0,0,0,2,8,0,0,0,0,149,71,0,0,0,0,0,0,0,0,53,0,0,0,0,NA,0.0131578947368421,0
2986,0,0,12,0,1,4,0,0,1,0,0,1,6,0,0,0,0,2552,530,0,0,1,1,2,0,0,1,70,0,0,0,0,NA,0.0131578947368421,0
3071,0,0,0,15,0,0,0,0,0,0,29,5,6,0,0,0,0,0,0,1570,252,0,0,0,0,0,0,46,0,0,0,0,NA,0.0131578947368421,0
3080,0,0,0,1,0,0,0,0,0,190,158,7,6,0,0,0,0,0,0,562,273,0,0,0,0,0,0,39,3,3,6,22,0,0.0142261001517451,1
3082,0,0,0,2,0,0,3,0,0,0,0,2,9,0,0,0,0,0,0,6,5,0,0,0,3,0,0,76,0,0,0,0,NA,0.0131578947368421,0
378243,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,NA,0.0131578947368421,0
379675,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.0131578947368421,0
379690,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,NA,0.0131578947368421,0
380118,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0131578947368421,0
381082,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.0131578947368421,0
381084,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.0131578947368421,0
381114,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0131578947368421,0
381295,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,1,2,0,0,0.0133333333333333,0
382758,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,NA,0.0131578947368421,0
382814,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.0131578947368421,0
383631,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.0131578947368421,0
389171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,NA,0.0131578947368421,0
389186,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,NA,0.0131578947368421,0
395937,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,NA,0.0131578947368421,0
395939,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,NA,0.0131578947368421,0
395960,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,NA,0.0131578947368421,0
401620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,NA,0.0131578947368421,0
404802,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,NA,0.0131578947368421,0
405723,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,NA,0.0131578947368421,0
432588,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,NA,0.0131578947368421,0
432589,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA,0.0131578947368421,0
432600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.0131578947368421,0
432620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,NA,0.0131578947368421,0
432641,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,NA,0.0131578947368421,0
432896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,NA,0.0131578947368421,0
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,NA,0.0131578947368421,0
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,NA,0.0131578947368421,0
433703,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,NA,0.0131578947368421,0
433973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,NA,0.0131578947368421,0
434003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,NA,0.0131578947368421,0
