"upeople_id","X180scmChanges","X1mslChanges","number_of_domain","country","X180linesadded","X180linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,91,219,7,9,38560,5528,3,1,1,2,0,0,0.11,0.39540940630348
300,30,498,4,8,8320,879421,1,4,4,8,14,0.0714285714285714,0.129411764705882,0.615961109018779
611,0,18,2,6,0,0,2,1,1,2,0,0,0.123595505617978,0.0811856054743828
1933,64,31,2,10,101272,68901,8,2,2,4,0,0.166666666666667,0.123595505617978,0.74020128264685
1936,201,84,2,9,188978,225000,4,4,4,8,8,0.0714285714285714,0.125,1
378243,0,0,13,0,0,0,6,0,0,0,0,NA,0.0833333333333333,0
381286,0,9,1,0,0,0,5,2,2,4,0,0.166666666666667,0.126436781609195,0.425977481817753
382516,0,1,1,0,0,0,12,0,0,0,0,NA,0.0833333333333333,0
383395,0,2,1,0,0,0,9,0,0,0,0,NA,0.0833333333333333,0
383396,0,0,1,0,0,0,10,0,0,0,0,NA,0.0833333333333333,0
383397,0,0,1,0,0,0,11,0,0,0,0,NA,0.0833333333333333,0
444666,0,0,1,0,0,0,7,0,0,0,0,NA,0.0833333333333333,0
