"upeople_id","X169scmChanges","X60scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","number_of_domain","country","X169linesadded","X169linesremoved","X60ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
15,0,0,0,0,0,0,6,6,0,0,0,49,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
198,0,0,0,0,0,0,5,7,0,0,0,38,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
247,0,0,0,0,0,0,5,9,0,0,0,55,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
261,0,0,0,8,0,0,4,7,0,0,0,26,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
282,0,0,0,0,2,0,6,9,0,0,0,47,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
415,4,9,0,0,0,0,3,6,4,5,2,8,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
517,0,0,0,0,0,0,4,10,0,0,0,14,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
526,1,1,0,0,0,5,6,9,2,15,1,24,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
527,1198,193,28,576,244,48,4,10,33275,30149,185,1,1,1,2,0,0,0.0120481927710843,7.85046229341887e-17
535,0,0,0,51,0,0,5,9,0,0,0,15,1,1,2,0,0,0.0120481927710843,7.85046229341887e-17
543,35,197,5,86,10,13,4,7,657,406,185,83,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
659,0,0,0,0,0,0,3,9,0,0,0,43,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
677,0,0,0,2,0,0,5,7,0,0,0,37,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
678,0,0,0,9,0,1,2,9,0,0,0,17,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
818,0,0,0,0,0,0,3,6,0,0,0,10,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1033,0,0,0,0,0,0,2,8,0,0,0,32,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1528,5,26,0,25,9,0,2,6,229,136,20,82,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1533,7,17,0,3,0,0,1,6,54,28,12,16,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1539,0,0,0,10,0,41,2,7,0,0,0,3,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1549,0,0,0,1,0,0,4,7,0,0,0,7,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1551,0,0,0,5,31,0,1,8,0,0,0,13,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
1558,0,0,0,0,1,0,1,9,0,0,0,36,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2134,0,0,0,0,0,0,2,8,0,0,0,46,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2151,0,0,0,8,4,0,3,8,0,0,0,56,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2235,0,0,0,0,0,0,4,9,0,0,0,27,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2282,0,0,0,0,0,0,3,7,0,0,0,9,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2340,0,0,0,1,0,0,6,8,0,0,0,18,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
2759,0,0,0,0,0,0,2,8,0,0,0,39,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
3080,0,0,0,11,0,0,7,6,0,0,0,53,2,2,4,0,0,0.0120481927710843,1
3217,0,0,0,0,0,0,1,9,0,0,0,25,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
3295,0,0,0,1,0,0,4,10,0,0,0,11,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
3402,0,0,0,2,1,0,3,8,0,0,0,34,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
309805,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378235,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378242,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378243,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378244,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378254,0,0,0,0,11,0,3,0,0,0,0,12,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378281,0,0,0,42,27,0,3,0,0,0,0,19,2,2,4,0,0,0.0120481927710843,1
378297,0,0,0,4,1,0,1,0,0,0,0,20,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378298,0,0,0,0,0,0,2,0,0,0,0,58,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378299,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378300,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378304,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378317,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378318,0,0,0,0,6,0,1,0,0,0,0,29,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378328,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378330,0,0,0,0,0,0,2,0,0,0,0,31,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378357,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
378412,0,0,0,0,0,0,3,0,0,0,0,35,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
379185,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
379489,0,0,0,0,0,0,2,0,0,0,0,41,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
379614,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
379790,0,0,0,9,7,0,1,0,0,0,0,45,0,0,0,0,NA,0.0119047619047619,3.92523114670944e-17
