"upeople_id","X65scmChanges","X72scmChanges","X105scmChanges","X109scmChanges","X113scmChanges","X142scmChanges","X182scmChanges","X263scmChanges","X274scmChanges","X293scmChanges","X378scmChanges","X389scmChanges","X406scmChanges","X59scrChanges","X77scrChanges","X98scrChanges","X118scrChanges","X126scrChanges","X169scrChanges","X212scrChanges","X221scrChanges","X248scrChanges","X280scrChanges","X356scrChanges","X369scrChanges","X391scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","number_of_domain","country","X65linesadded","X65linesremoved","X72linesadded","X72linesremoved","X105linesadded","X105linesremoved","X109linesadded","X109linesremoved","X113linesadded","X113linesremoved","X142linesadded","X142linesremoved","X182linesadded","X182linesremoved","X263linesadded","X263linesremoved","X274linesadded","X274linesremoved","X293linesadded","X293linesremoved","X378linesadded","X378linesremoved","X389linesadded","X389linesremoved","X406linesadded","X406linesremoved","X59ReviewGotMerged","X77ReviewGotMerged","X98ReviewGotMerged","X118ReviewGotMerged","X126ReviewGotMerged","X169ReviewGotMerged","X212ReviewGotMerged","X221ReviewGotMerged","X248ReviewGotMerged","X280ReviewGotMerged","X356ReviewGotMerged","X369ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
413,0,0,0,0,0,886,305,0,3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,14,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,2007,2500,6898,6898,0,0,1095149,1364486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,NA,0.00366300366300366,0
415,11,1,0,0,0,0,256,0,0,0,0,0,913,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,82,0,186,0,0,3,6,1413,775,31,8,0,0,0,0,0,0,0,0,1638,1447,0,0,0,0,0,0,0,0,0,0,120308,86245,0,0,0,0,0,0,1,0,0,29,0,0,0,3,0,0,0,0,NA,0.00366300366300366,0
430,2,113,29,0,0,359,212,0,650,0,0,0,189,0,0,0,0,10,0,3,0,0,0,0,0,0,29,0,0,0,0,0,82,0,4,0,3,2,7,33,12,17526,10720,551,393,0,0,0,0,10988,1304,2546,1854,0,0,21312,11894,0,0,0,0,0,0,20204,9691,0,0,0,0,9,0,3,0,0,0,0,0,0,116,0,0,0,0,NA,0.00366300366300366,0
432,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,9,0,0,44117,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,NA,0.00366300366300366,0
443,0,1,32,0,0,505,305,2,3579,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,18,0,126,0,0,0,0,1,10,0,0,24,0,1346,647,0,0,0,0,14332,2233,2587,1932,20,8,334334,407095,106,53,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.00366300366300366,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.00366300366300366,0
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,NA,0.00366300366300366,0
494,0,0,0,0,0,0,2,0,0,1,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,45,0,7,0,34,0,12,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,48,13,1639,213,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,1,1,2,0,0,0.00367647058823529,0
526,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,17,15,0,0,0,5,0,8,0,18,6,9,0,0,2030,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,NA,0.00366300366300366,0
587,0,3,0,0,0,17,4,1,348,1,0,0,0,0,1,47,0,605,1,0,0,0,1,0,11,6,35,0,0,0,0,0,2,0,0,0,0,5,8,0,0,3,4,0,0,0,0,0,0,1915,10397,34,55,2,2,17193,278791,122,107,0,0,0,0,0,0,0,1,47,0,564,0,0,0,0,0,0,9,4,14,0,0,0,0,NA,0.00366300366300366,0
610,4,1,149,0,0,0,462,1,0,0,0,931,0,0,0,0,5,0,0,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2001,368,1,1,21101,21558,0,0,0,0,0,0,18599,12974,6,4,0,0,0,0,0,0,42468,35229,0,0,0,0,0,4,0,0,6,52,0,0,0,0,0,17,0,0,0,0,NA,0.00366300366300366,0
659,48,20,0,0,0,0,724,0,0,0,0,0,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,11,281,0,111,0,12,3,9,2433,1088,785,198,0,0,0,0,0,0,0,0,17451,13568,0,0,0,0,0,0,0,0,0,0,710461,467545,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,NA,0.00366300366300366,0
663,1,1469,2,1,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,191,0,0,0,417,5,10,15,15,524403,463832,24,24,18,0,0,0,0,0,1253,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,NA,0.00366300366300366,0
665,3,386,21,5,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,28,0,0,0,109,3,8,0,0,50772,38192,39,25,351,42,0,0,0,0,1064,1102,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,NA,0.00366300366300366,0
668,59,0,0,0,16,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,167,0,0,0,1,4,9,10589,6254,0,0,0,0,0,0,116,109,0,0,5108,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,NA,0.00366300366300366,0
670,2,0,48,0,0,0,731,0,0,321,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,26,0,4,0,296,0,1,0,0,13,8,9,2,0,0,3951,3007,0,0,0,0,0,0,9335,6000,0,0,0,0,31900,30034,78,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,NA,0.00366300366300366,0
671,6,22,1,0,0,0,410,0,0,0,0,243,0,0,0,0,1,0,0,14,6,0,0,0,4,0,0,0,0,14,0,0,98,0,0,0,1,3,6,1597,213,2358,1710,21,11,0,0,0,0,0,0,12926,10859,0,0,0,0,0,0,0,0,7662,5109,0,0,0,0,0,1,0,0,14,6,0,0,0,4,0,10,0,0,0,0,NA,0.00366300366300366,0
677,1,186,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,182,0,2,0,0,0,22,0,0,3,0,2,0,0,0,0,0,16,5,7,10,0,10809,3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,266,0,0,0,0,0,0,0,0,0,0,0,0,161,0,2,0,0,0,14,29,0,0,0,0,NA,0.00366300366300366,0
693,0,12,150,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,56,24,11859,11385,0,0,0,0,0,0,18175,14804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,NA,0.00366300366300366,0
721,0,188,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,3,10,0,0,21940,10979,0,0,0,0,0,0,0,0,145,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,NA,0.00366300366300366,0
724,0,352,0,0,0,0,61,0,223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,6,15,3,9,0,0,33919,19862,0,0,0,0,0,0,0,0,1771,933,0,0,36313,26346,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,NA,0.00366300366300366,0
735,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,5,8,0,15,2,0,2,36,3,7,0,0,4248,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,NA,0.00366300366300366,0
738,0,60,0,0,0,83,69,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,3,0,28,0,0,0,6,4,6,0,0,4636,2628,0,0,0,0,0,0,562,352,2549,3777,0,0,19285,37621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,NA,0.00366300366300366,0
743,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,7,1,7,0,0,65972,26285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,NA,0.00366300366300366,0
