"upeople_id","X305scmChanges","X1mslChanges","number_of_domain","country","X305linesadded","X305linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
522,47,76,2,7,2523,174,10,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
883,0,20,5,7,0,0,3,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
1351,0,2,7,8,0,0,2,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
1860,0,7,6,6,0,0,7,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
2152,0,23,4,7,0,0,6,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
378227,0,4,3,0,0,0,5,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
378243,0,0,13,0,0,0,1,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381777,0,2,3,0,0,0,15,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381779,0,40,1,0,0,0,11,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381787,0,46,2,0,0,0,12,2,2,4,0,0,0.0285714285714286,1
381801,0,50,3,0,0,0,17,1,1,2,0,0,0.0285714285714286,0.414213562373095
381808,0,0,2,0,0,0,21,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381913,0,0,2,0,0,0,16,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381916,0,13,1,0,0,0,18,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
381917,0,0,4,0,0,0,24,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
382457,0,2,1,0,0,0,26,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
382478,0,0,2,0,0,0,19,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
387032,0,11,2,0,0,0,28,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
387138,0,3,2,0,0,0,20,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
391619,0,0,3,0,0,0,8,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
402867,0,0,2,0,0,0,29,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
414630,0,0,2,0,0,0,25,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
432759,0,0,0,0,0,0,13,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
432764,0,0,1,0,0,0,4,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
433423,0,0,1,0,0,0,9,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
439802,0,4,2,0,0,0,22,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444293,0,0,1,0,0,0,27,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444318,0,0,1,0,0,0,30,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444322,0,0,1,0,0,0,31,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444342,0,0,1,0,0,0,32,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444353,0,0,1,0,0,0,33,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444362,0,0,1,0,0,0,34,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
444383,0,0,1,0,0,0,35,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
446917,0,0,0,0,0,0,36,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
447058,0,0,0,0,0,0,14,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
447349,0,0,0,0,0,0,23,0,0,0,0,NA,0.0277777777777778,6.0084837121965e-17
