"upeople_id","X4scmChanges","X330scmChanges","X347scmChanges","X419scrChanges","X1mslChanges","number_of_domain","country","X4linesadded","X4linesremoved","X330linesadded","X330linesremoved","X347linesadded","X347linesremoved","X419ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
21,320,372,0,0,212,4,9,292781,107856,29197,8310,0,0,0,37,3,3,6,38.7666666666667,0.2,0.0121165811592621,0.0134879951400138
22,88,627,0,5,524,2,10,6535,2395,36783,17809,0,0,2,44,3,3,6,0,0.0666666666666667,0.0119111492649426,0.114816497813981
23,1,649,0,30,502,3,6,84,3,201312,90955,0,0,16,9,5,5,10,26.1333333333333,0.133333333333333,0.0121073298429319,0.0967137006068803
24,26,1703,46,409,4096,6,6,1238,310,355481,264669,656,97,370,13,18,17,35,245.3,0.0336134453781513,0.0121271714192068,0.850013459615299
25,12,984,2,0,469,1,7,983,531,189584,141827,138,131,0,28,6,6,12,0,0.151515151515152,0.0120994113799869,0.183537455889501
26,16,12,0,0,6,1,10,3305,1616,1742,605,0,0,0,25,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
27,38,12,0,0,52,1,7,58254,15212,2015,919,0,0,0,26,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
28,80,4,0,1,24,3,7,10322,4709,137,44,0,0,1,84,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
29,2,1586,0,23,251,1,10,24,13,193130,96698,0,0,23,43,1,1,2,0,0,0.0120980926430518,0.00623144193141038
32,1,3070,0,1153,831,2,9,2,2,417077,235026,0,0,1027,24,18,19,37,359.8,0.0285285285285285,0.0121364530942489,0.633111135812682
33,3,209,0,0,413,2,10,463,2,14362,5317,0,0,0,40,4,4,8,18.7333333333333,0.107142857142857,0.0121086505945238,0.175257859154107
273,0,0,0,0,0,7,9,0,0,0,0,0,0,0,8,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
412,0,663,0,0,64,2,7,0,0,127237,60759,0,0,0,10,2,2,4,0,0.166666666666667,0.0120220946604571,0.0320591340983595
430,0,225,0,0,47,2,7,0,0,48767,31556,0,0,0,19,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
493,0,189,0,5,75,1,10,0,0,36761,12056,0,0,4,45,2,2,4,45.3333333333333,0,0.0120560443141088,0.0212529959172665
494,0,17,0,18,165,1,6,0,0,6202,3618,0,0,13,2,6,6,12,119,0.0454545454545455,0.0121245221190606,0.0367562229058596
614,0,33,0,111,17,1,7,0,0,4455,4949,0,0,93,6,2,2,4,24.6,0,0.0121033693163232,0.00623900364789348
679,0,25,0,300,36,4,6,0,0,11024,2865,0,0,230,5,1,1,2,0,0,0.0119870410367171,0.001502568645857
771,0,13,0,28,7,4,10,0,0,455,83,0,0,21,50,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
823,0,0,0,0,1,2,10,0,0,0,0,0,0,0,112,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
845,0,30,0,5,70,4,10,0,0,6380,744,0,0,5,51,2,2,4,28,0.166666666666667,0.0121192269898461,0.0182088906572814
849,0,685,0,329,812,2,10,0,0,85221,27785,0,0,284,53,21,21,42,399.366666666667,0.0301974448315912,0.0121377802077638,1
1377,0,45,0,111,59,2,10,0,0,28649,9263,0,0,85,14,1,1,2,0,0,0.0120468851747341,0.00534592332165134
1489,0,7,0,36,114,5,9,0,0,1476,69,0,0,21,3,1,1,2,0,0,0.0120994113799869,0.00984257198921561
2218,0,0,0,0,6,4,8,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2272,0,1581,0,133,558,3,6,0,0,211140,113481,0,0,114,1,9,9,18,25.4666666666667,0.130718954248366,0.0121086505945238,0.273659323313331
2430,0,154,0,310,152,1,7,0,0,141289,7502,0,0,288,4,4,4,8,0,0.0714285714285714,0.0120888695273361,0.0690678178235107
2454,0,4,0,8,13,4,9,0,0,2502,647,0,0,3,90,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2471,0,24,0,367,15,5,8,0,0,677,264,0,0,258,89,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2568,0,2,0,12,0,1,7,0,0,32,21,0,0,2,69,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2589,0,356,0,47,586,1,9,0,0,70351,24132,0,0,45,31,8,8,16,44.6333333333333,0.0916666666666667,0.0121099716343007,0.0718164388600925
2590,0,280,0,2,173,2,7,0,0,714936,566790,0,0,2,30,3,3,6,0,0.133333333333333,0.0120967741935484,0.0325098036112546
2598,0,11,0,0,17,3,7,0,0,21404,21320,0,0,0,21,1,1,2,0,0,0.0120233968804159,0.0295277159676468
2600,0,2,0,13,5,5,7,0,0,48,1,0,0,12,42,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2774,0,53,0,0,232,1,7,0,0,82956,2637,0,0,0,59,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2776,0,96,0,0,80,1,10,0,0,4065,2044,0,0,0,58,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2777,0,1620,0,308,609,8,10,0,0,170837,87622,0,0,281,52,4,4,8,58,0.0357142857142857,0.0121007304044478,0.0508867210556799
2778,0,2915,0,0,680,2,6,0,0,291202,145509,0,0,0,56,1,1,2,0,0,0.00900900900900901,8.02478291163857e-18
2779,0,39,0,0,236,3,8,0,0,1089,613,0,0,0,18,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2780,0,25,0,0,15,1,8,0,0,4572,3684,0,0,0,57,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2782,0,1107,0,0,194,3,7,0,0,472760,301457,0,0,0,60,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2784,0,134,0,0,24,2,9,0,0,40227,15028,0,0,0,61,1,1,2,0,0,0.00900900900900901,8.69351482094178e-18
2785,0,202,0,0,154,1,10,0,0,56997,29751,0,0,0,63,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2786,0,68,0,0,63,2,8,0,0,16703,7175,0,0,0,62,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2787,0,89,0,0,35,3,6,0,0,17906,9227,0,0,0,68,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2789,0,239,0,0,421,1,9,0,0,139906,89132,0,0,0,83,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2792,0,493,0,0,74,2,7,0,0,47087,31742,0,0,0,36,1,1,2,0,0,0.0120980926430518,0.00623144193141038
2793,0,2275,0,6,654,4,8,0,0,390354,289841,0,0,4,34,11,11,22,124.066666666667,0.0649350649350649,0.0121231979030144,0.271571461580814
2794,0,274,0,0,82,3,10,0,0,72793,47428,0,0,0,33,2,2,4,0,0,0.0120862369337979,0.0137265840741309
2795,0,22,0,0,31,3,7,0,0,1627,506,0,0,0,32,1,1,2,0,0,0.0120286085825748,0.000193771218549639
2796,0,31,0,0,117,2,7,0,0,969,611,0,0,0,46,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2802,0,34,0,148,13,4,6,0,0,1065,285,0,0,136,47,1,1,2,0,0,0.0120994113799869,0.00984257198921561
2812,0,8,0,9,29,4,9,0,0,151,32,0,0,9,106,2,2,4,8.93333333333333,0,0.0120901862542207,0.00076826631203494
