"upeople_id","X41scmChanges","X133scmChanges","X42scrChanges","X64scrChanges","X1mslChanges","number_of_domain","country","X41linesadded","X41linesremoved","X133linesadded","X133linesremoved","X42ReviewGotMerged","X64ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,56,0,15,0,19,3,6,13675,3474,0,0,14,0,2,0,0,0,0,NA,0.0588235294117647,0
24,11,0,0,0,83,6,6,93,25,0,0,0,0,3,0,0,0,0,NA,0.0588235294117647,0
29,99,0,15,0,7,1,10,36995,36668,0,0,15,0,12,0,0,0,0,NA,0.0588235294117647,0
475,594,1092,23,124,129,5,8,113580,97756,147651,111933,21,109,11,3,3,6,8,0,0.073394495412844,0.303276292687349
476,1685,2,30,0,108,4,7,468370,351337,3,2,30,0,7,1,1,2,0,0,0.0551724137931034,0.950755888621507
477,393,0,0,0,2,1,9,107543,71870,0,0,0,0,14,0,0,0,0,NA,0.0588235294117647,0
478,17,0,0,0,0,2,6,6747,1472,0,0,0,0,16,0,0,0,0,NA,0.0588235294117647,0
479,461,0,4,0,4,1,9,151771,123433,0,0,4,0,8,1,1,2,0,0,0.0707964601769911,0.0303517601212418
480,1,34,0,7,4,2,7,13,2,1665,275,0,5,9,1,1,2,0,0,0.073394495412844,0.0500397836116583
492,1,24,0,6,7,3,6,4,4,2082,114,0,2,15,0,0,0,0,NA,0.0588235294117647,0
494,14,13,40,8,179,1,6,1112,167,5635,169,34,7,1,5,5,10,18,0,0.0747663551401869,1
1608,0,10,0,0,1,3,8,0,0,168,93,0,0,13,0,0,0,0,NA,0.0588235294117647,0
2223,0,0,0,0,5,3,7,0,0,0,0,0,0,4,1,1,2,0,0,0.073394495412844,0.0500397836116583
2793,0,0,4,0,0,4,8,0,0,0,0,4,0,17,0,0,0,0,NA,0.0588235294117647,0
3080,0,0,0,0,0,7,6,0,0,0,0,0,0,5,0,0,0,0,NA,0.0588235294117647,0
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,NA,0.0588235294117647,0
382566,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,NA,0.0588235294117647,0
