"upeople_id","X1mslChanges","number_of_domain","country","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
286,7,3,6,1,0,0,0,0,NA,0.1,0
378243,0,13,0,4,0,0,0,0,NA,0.1,0
384487,543,2,0,2,4,4,8,4,0,0.0927835051546392,1
386309,5,1,0,3,0,0,0,0,NA,0.1,0
386310,416,2,0,5,4,4,8,0,0,0.0909090909090909,0.898785749766278
386311,268,2,0,6,2,2,4,4,0,0.0927835051546392,0.503965865631726
386312,0,1,0,7,0,0,0,0,NA,0.1,0
386315,4,1,0,8,0,0,0,0,NA,0.1,0
386319,0,1,0,9,0,0,0,0,NA,0.1,0
397128,11,1,0,10,1,1,2,0,0,0.0825688073394495,0.0977691173646675
