"upeople_id","X123scmChanges","X146scmChanges","X212scmChanges","X256scmChanges","X354scmChanges","X372scmChanges","X1mslChanges","number_of_domain","country","X123linesadded","X123linesremoved","X146linesadded","X146linesremoved","X212linesadded","X212linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X372linesadded","X372linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
399827,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
406922,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
410064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
426170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
432947,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
433088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
433826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
443654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
444167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
444666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
444879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
445664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
446954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
447900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
452119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
452127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
452128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
452145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
456195,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,67,0,0,0,0,NA,0.0149253731343284,1.33494389473804e-16
