"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,-0.114707866935281,-0.114707866935281,NA,-0.114707866935281,0.986241382612456,-0.114707866935281,-0.114707866935281,-0.114707866935281,NA,-0.397359707119513,-0.114707866935281,-0.114707866935281,-0.114707866935281,NA,NA,NA,-0.114707866935281,0.0972388244452089
"avg_resolution",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"scmChanges",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"scrChanges",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mslChanges",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"number_of_domain",0.986241382612456,-0.277350098112615,-0.277350098112615,NA,-0.277350098112615,1,-0.277350098112615,-0.277350098112615,-0.277350098112615,NA,-0.240192230707631,-0.277350098112615,-0.277350098112615,-0.277350098112615,NA,NA,NA,-0.277350098112615,0.260429184178486
"country",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"linesadded",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"linesremoved",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"ReviewGotMerged",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",-0.397359707119513,-0.866025403784439,-0.866025403784439,NA,-0.866025403784439,-0.240192230707631,-0.866025403784439,-0.866025403784439,-0.866025403784439,NA,1,-0.866025403784439,-0.866025403784439,-0.866025403784439,NA,NA,NA,-0.866025403784438,0.874675410517956
"in_degree",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"out_degree",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"degree",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784439,1,1,1,NA,NA,NA,1,-0.999845683110836
"betweenness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"clustcoeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"closeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"eigencentrality",-0.114707866935281,1,1,NA,1,-0.277350098112615,1,1,1,NA,-0.866025403784438,1,1,1,NA,NA,NA,1,-0.999845683110836
"upeople_id",0.0972388244452089,-0.999845683110836,-0.999845683110836,NA,-0.999845683110836,0.260429184178486,-0.999845683110836,-0.999845683110836,-0.999845683110836,NA,0.874675410517956,-0.999845683110836,-0.999845683110836,-0.999845683110836,NA,NA,NA,-0.999845683110836,1
