"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,-1,-1,NA,-1,1,-1,-1,-1,NA,1,-1,-1,-1,NA,NA,NA,-1,1
"avg_resolution",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"scmChanges",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"scrChanges",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mslChanges",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"number_of_domain",1,-1,-1,NA,-1,1,-1,-1,-1,NA,1,-1,-1,-1,NA,NA,NA,-1,1
"country",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"linesadded",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"linesremoved",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"ReviewGotMerged",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",1,-1,-1,NA,-1,1,-1,-1,-1,NA,1,-1,-1,-1,NA,NA,NA,-1,1
"in_degree",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"out_degree",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"degree",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"betweenness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"clustcoeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"closeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"eigencentrality",-1,1,1,NA,1,-1,1,1,1,NA,-1,1,1,1,NA,NA,NA,1,-1
"upeople_id",1,-1,-1,NA,-1,1,-1,-1,-1,NA,1,-1,-1,-1,NA,NA,NA,-1,1
