"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,0.0948805008093866,0.496504088220608,NA,0.272181319733934,-0.0304513246926633,0.398728185034439,0.0772410542986265,-0.0356363227552063,NA,-0.34996226670236,0.471939262662755,0.471939262662755,0.471939262662755,0.246349396127821,0.441284813441375,-0.335645019848894,-0.309837042664941,-0.363808402027167
"avg_resolution",0.0948805008093866,1,0.11868966143126,NA,0.0115068962907454,-0.0576124649175192,0.294597682267331,0.0874668714419363,0.0591276610200741,NA,-0.0393203179754057,0.707986442654872,0.707986442654872,0.707986442654872,0.0934325514401104,0.0234074758524414,-0.296966678423471,0.757338313770324,-0.403677383467516
"scmChanges",0.496504088220608,0.11868966143126,1,NA,0.81290462530976,-0.00807393205256489,0.6456213468554,0.842640458418942,0.773303699147387,NA,0.0375428497125232,0.690954054928215,0.690954054928215,0.690954054928215,0.190599461135115,0.778179950577032,-0.923505335563943,-0.406381465000673,-0.645880704426072
"scrChanges",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mslChanges",0.272181319733934,0.0115068962907454,0.81290462530976,NA,1,0.0547490238258418,0.437417587039092,0.871680733745197,0.797769884268102,NA,0.0152085827786416,0.356525185760648,0.356525185760648,0.356525185760648,-0.0897100696117273,0.644709794888661,-0.717049263742083,-0.337431503657095,-0.470571164698883
"number_of_domain",-0.0304513246926633,-0.0576124649175192,-0.00807393205256489,NA,0.0547490238258418,1,-0.051651458238716,0.0708156280166523,0.0874228313763687,NA,0.307640491231438,-0.100901413135759,-0.100901413135759,-0.100901413135759,-0.0840215791306717,-0.0543826048792995,0.00736992931462868,-0.0123091680627277,0.00624061659722819
"country",0.398728185034439,0.294597682267331,0.6456213468554,NA,0.437417587039092,-0.051651458238716,1,0.399686538502774,0.333595712055796,NA,-0.0775778079050179,0.714013888632962,0.714013888632962,0.714013888632962,0.337160134916277,0.6936526894647,-0.674476270307244,-0.226797905524101,-0.965026980746551
"linesadded",0.0772410542986265,0.0874668714419363,0.842640458418942,NA,0.871680733745197,0.0708156280166523,0.399686538502774,1,0.987113533398835,NA,0.259423048792242,0.439699626302014,0.439699626302014,0.439699626302014,-0.0482503638181793,0.581027838284741,-0.84617936964664,-0.220424756423702,-0.437487654951039
"linesremoved",-0.0356363227552063,0.0591276610200741,0.773303699147387,NA,0.797769884268102,0.0874228313763687,0.333595712055796,0.987113533398835,1,NA,0.313152535771449,0.374303250761608,0.374303250761608,0.374303250761608,-0.049081250599516,0.497351877088227,-0.795726252891015,-0.183969530913759,-0.373147706100248
"ReviewGotMerged",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",-0.34996226670236,-0.0393203179754057,0.0375428497125232,NA,0.0152085827786416,0.307640491231438,-0.0775778079050179,0.259423048792242,0.313152535771449,NA,1,-0.0333184978194389,-0.0333184978194389,-0.0333184978194389,-0.0413876568518049,0.136982986365457,-0.177811137617119,-0.036046544012483,0.0630400190083518
"in_degree",0.471939262662755,0.707986442654872,0.690954054928215,NA,0.356525185760648,-0.100901413135759,0.714013888632962,0.439699626302014,0.374303250761608,NA,-0.0333184978194389,1,1,1,0.432344811661306,0.621745343835985,-0.75431486539755,0.118946856327106,-0.75699483771917
"out_degree",0.471939262662755,0.707986442654872,0.690954054928215,NA,0.356525185760648,-0.100901413135759,0.714013888632962,0.439699626302014,0.374303250761608,NA,-0.0333184978194389,1,1,1,0.432344811661306,0.621745343835985,-0.75431486539755,0.118946856327106,-0.75699483771917
"degree",0.471939262662755,0.707986442654872,0.690954054928215,NA,0.356525185760648,-0.100901413135759,0.714013888632962,0.439699626302014,0.374303250761608,NA,-0.0333184978194389,1,1,1,0.432344811661306,0.621745343835985,-0.75431486539755,0.118946856327106,-0.75699483771917
"betweenness",0.246349396127821,0.0934325514401104,0.190599461135115,NA,-0.0897100696117273,-0.0840215791306717,0.337160134916277,-0.0482503638181793,-0.049081250599516,NA,-0.0413876568518049,0.432344811661306,0.432344811661306,0.432344811661306,1,0.463475068106943,-0.0398182966421631,-0.346811516958231,-0.399361693315528
"clustcoeff",0.441284813441375,0.0234074758524414,0.778179950577032,NA,0.644709794888661,-0.0543826048792995,0.6936526894647,0.581027838284741,0.497351877088227,NA,0.136982986365457,0.621745343835985,0.621745343835985,0.621745343835985,0.463475068106943,1,-0.72445053742296,-0.593175562940059,-0.682610968346435
"closeness",-0.335645019848894,-0.296966678423471,-0.923505335563943,NA,-0.717049263742083,0.00736992931462868,-0.674476270307244,-0.84617936964664,-0.795726252891015,NA,-0.177811137617119,-0.75431486539755,-0.75431486539755,-0.75431486539755,-0.0398182966421631,-0.72445053742296,1,0.174694914327602,0.658593490326227
"eigencentrality",-0.309837042664941,0.757338313770324,-0.406381465000673,NA,-0.337431503657095,-0.0123091680627277,-0.226797905524101,-0.220424756423702,-0.183969530913759,NA,-0.036046544012483,0.118946856327106,0.118946856327106,0.118946856327106,-0.346811516958231,-0.593175562940059,0.174694914327602,1,0.146527937054361
"upeople_id",-0.363808402027167,-0.403677383467516,-0.645880704426072,NA,-0.470571164698883,0.00624061659722819,-0.965026980746551,-0.437487654951039,-0.373147706100248,NA,0.0630400190083518,-0.75699483771917,-0.75699483771917,-0.75699483771917,-0.399361693315528,-0.682610968346435,0.658593490326227,0.146527937054361,1
